run_id	experiment_accession	sample_accession	sample_alias	scientific_name	instrument_model	deposited	imported_by_plavisca_chunk	retained_by_plavisca	retained_cells
SRR27021952	SRX22714379	SAMN38578469	Illumina_5309_AS3	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	FALSE	FALSE	0
SRR27021953	SRX22714378	SAMN38578468	Illumina_5309_AS2	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	FALSE	FALSE	0
SRR27021954	SRX22714377	SAMN38578467	Illumina_5309_AS1	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	FALSE	FALSE	0
SRR27021955	SRX22714376	SAMN38578466	Illumina_5309_2	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	2403
SRR27021956	SRX22714375	SAMN38578465	Illumina_5309_1	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	3242
SRR27021957	SRX22714374	SAMN38578502	WGS_NIH	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	FALSE	FALSE	0
SRR27021958	SRX22714373	SAMN38578501	WGS_Chesson	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	FALSE	FALSE	0
SRR27021959	SRX22714372	SAMN38578500	Illumina_SPZ_5736_6_24_An_steph	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	FALSE	0
SRR27021960	SRX22714371	SAMN38578464	Illumina_5708_4	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	4028
SRR27021961	SRX22714370	SAMN38578499	Illumina_SPZ_5164_6_22_An_steph	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	FALSE	0
SRR27021962	SRX22714369	SAMN38578498	Illumina_SPZ_5164_6_21_A_An_steph	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	FALSE	0
SRR27021963	SRX22714368	SAMN38578497	Illumina_SPZ_5736_6_25_An_steph	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	FALSE	0
SRR27021964	SRX22714367	SAMN38578496	Illumina_SPZ_5164_6_22_An_free	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	FALSE	0
SRR27021965	SRX22714366	SAMN38578495	Illumina_SPZ_5736_6_25_An_free	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	FALSE	0
SRR27021966	SRX22714365	SAMN38578494	Illumina_5370_3	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	774
SRR27021967	SRX22714364	SAMN38578493	Illumina_5370_2	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	1064
SRR27021968	SRX22714363	SAMN38578492	Illumina_5370_1	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	1181
SRR27021969	SRX22714362	SAMN38578491	Illumina_5350_3	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	1738
SRR27021970	SRX22714361	SAMN38578490	Illumina_5350_2	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	3177
SRR27021971	SRX22714360	SAMN38578463	Illumina_5708_3	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	3517
SRR27021972	SRX22714359	SAMN38578489	Illumina_5350_1	Plasmodium vivax	Illumina NovaSeq 6000	TRUE	TRUE	TRUE	2950
