library_id	run_id	animal_id	day_post_infection_authoritative	infection_design_authoritative	inoculum_or_lineage_authoritative	publication_total_reads	publication_cells_gt1000	publication_chesson_cells	publication_nih1993_cells	experiment_accession	sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	instrument_model	library_strategy	library_source	library_selection	scientific_name	biosample_title	registry_organism	registry_geo_loc_name	registry_host	registry_isolate	registry_strain	registry_tissue	deposited_processed_cells	deployed_host_id	deployed_strain	deployed_day	deployed_geography	deployed_host_species	deployed_technology	deployed_sequencer	deployed_biological_replicate	deployed_cells	host_library_id_correct	day_correct	cell_count_correct	retained_by_plavisca	sample_material	capture_technology_authoritative	sequencing_platform_authoritative	host_species_authoritative	host_sex_authoritative	treatment_authority_note	parasite_provenance_note	host_provenance_note	experimental_site_note	sequencing_site_note
5309_2	SRR27021955	5309	16	Mono infection	Chesson	167304725	2403	2403	0	SRX22714376	SAMN38578466	PRJNA1047651	SRP475376	Illumina_5309_2	Illumina_5309_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NA	Chesson	Blood	2403	5309_2	Chesson	16	Papua New Guinea	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	2403	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage; Papua New Guinea origin supported	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5309_1	SRR27021956	5309	14	Mono infection	Chesson	201484584	3242	3242	0	SRX22714375	SAMN38578465	PRJNA1047651	SRP475376	Illumina_5309_1	Illumina_5309_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	NA	Chesson	Blood	3242	5309_1	Chesson	14	Papua New Guinea	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	3242	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage; Papua New Guinea origin supported	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5708_4	SRR27021960	5708	26	Consecutive infection	Chesson then NIH 1993	272636632	4028	4028	0	SRX22714371	SAMN38578464	PRJNA1047651	SRP475376	Illumina_5708_4	Illumina_5708_4	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Chesson&NIH1993	NA	Blood	4028	5708_4	Chesson&NIH1993	26	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	4028	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5370_3	SRR27021966	5370	31	Sporozoite infection	coinfection	125365521	774	28	746	SRX22714365	SAMN38578494	PRJNA1047651	SRP475376	Illumina_5370_3	Illumina_5370_3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Outcross	NA	Blood	774	5370_3	Coinfection NIH1993-F3&Chesson	31	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	774	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Descended from Chesson plus NIH-1993-F3 mosquito-stage coinfection; includes parental and outcross genotypes	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5370_2	SRR27021967	5370	30	Sporozoite infection	coinfection	134870568	1064	52	1012	SRX22714364	SAMN38578493	PRJNA1047651	SRP475376	Illumina_5370_2	Illumina_5370_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Outcross	NA	Blood	1064	5370_2	Coinfection NIH1993-F3&Chesson	30	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1064	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Descended from Chesson plus NIH-1993-F3 mosquito-stage coinfection; includes parental and outcross genotypes	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5370_1	SRR27021968	5370	29	Sporozoite infection	coinfection	146668985	1181	39	1142	SRX22714363	SAMN38578492	PRJNA1047651	SRP475376	Illumina_5370_1	Illumina_5370_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Outcross	NA	Blood	1181	5370_1	Coinfection NIH1993-F3&Chesson	29	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1181	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Descended from Chesson plus NIH-1993-F3 mosquito-stage coinfection; includes parental and outcross genotypes	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5350_3	SRR27021969	5350	31	Sporozoite infection	coinfection	151084512	1738	1041	697	SRX22714362	SAMN38578491	PRJNA1047651	SRP475376	Illumina_5350_3	Illumina_5350_3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Outcross	NA	Blood	1738	5350_3	Coinfection NIH1993-F3&Chesson	31	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	1738	TRUE	TRUE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Descended from Chesson plus NIH-1993-F3 mosquito-stage coinfection; includes parental and outcross genotypes	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5350_2	SRR27021970	5350	30	Sporozoite infection	coinfection	147337587	3177	1728	1449	SRX22714361	SAMN38578490	PRJNA1047651	SRP475376	Illumina_5350_2	Illumina_5350_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Outcross	NA	Blood	3177	5350_2	Coinfection NIH1993-F3&Chesson	31	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	3177	TRUE	FALSE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Descended from Chesson plus NIH-1993-F3 mosquito-stage coinfection; includes parental and outcross genotypes	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5708_3	SRR27021971	5708	24	Consecutive infection	Chesson then NIH 1993	210216372	3517	3517	0	SRX22714360	SAMN38578463	PRJNA1047651	SRP475376	Illumina_5708_3	Illumina_5708_3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Chesson&NIH1993	NA	Blood	3517	5708_3	Chesson&NIH1993	30	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	3517	TRUE	FALSE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Chesson historical lineage (Papua New Guinea) plus NIH-1993-F3; exact NIH-1993 geographic origin not established here	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
5350_1	SRR27021972	5350	29	Sporozoite infection	coinfection	144540655	2950	1641	1309	SRX22714359	SAMN38578489	PRJNA1047651	SRP475376	Illumina_5350_1	Illumina_5350_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax	Invertebrate sample from Plasmodium vivax	Plasmodium vivax	USA: Bethesda	Homo sapiens	Outcross	NA	Blood	2950	5350_1	Coinfection NIH1993-F3&Chesson	24	Papua New Guinea/El Salvador	Saimiri boliviensis	10x_Chomium_V3	Illumina NovaSeq 6000	NA	2950	TRUE	FALSE	TRUE	TRUE	P. vivax-infected Saimiri boliviensis blood	10X Genomics 3-prime scRNA-seq; kit 1000268	Illumina NovaSeq	Saimiri boliviensis	female	No drug-treatment arm described; infection design and splenectomy are separate concepts	Descended from Chesson plus NIH-1993-F3 mosquito-stage coinfection; includes parental and outcross genotypes	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH animal protocol; do not infer animal origin from institutional location	Not stated in publication or Supplemental Data 1
