run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	instrument_model	library_strategy	library_source	library_selection	scientific_name
SRR27021954	SRX22714377	SAMN38578467	PRJNA1047651	SRP475376	Illumina_5309_AS1	Illumina_5309_AS1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021962	SRX22714369	SAMN38578498	PRJNA1047651	SRP475376	Illumina_SPZ_5164_6_21_A_An_steph	Illumina_SPZ_5164_6_21_A_An_steph	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021964	SRX22714367	SAMN38578496	PRJNA1047651	SRP475376	Illumina_SPZ_5164_6_22_An_free	Illumina_SPZ_5164_6_22-An_free	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021968	SRX22714363	SAMN38578492	PRJNA1047651	SRP475376	Illumina_5370_1	Illumina_5370_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021970	SRX22714361	SAMN38578490	PRJNA1047651	SRP475376	Illumina_5350_2	Illumina_5350_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021984	SRX22714347	SAMN38578478	PRJNA1047651	SRP475376	Illumina_5537_4	Illumina_5537_4	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021990	SRX22714341	SAMN38578472	PRJNA1047651	SRP475376	Illumina_5142_AS1	Illumina_5142_AS1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021993	SRX22714338	SAMN38578461	PRJNA1047651	SRP475376	Illumina_5708_1	Illumina_5708_1	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021953	SRX22714378	SAMN38578468	PRJNA1047651	SRP475376	Illumina_5309_AS2	Illumina_5309_AS2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021955	SRX22714376	SAMN38578466	PRJNA1047651	SRP475376	Illumina_5309_2	Illumina_5309_2	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021965	SRX22714366	SAMN38578495	PRJNA1047651	SRP475376	Illumina_SPZ_5736_6_25_An_free	Illumina_SPZ_5736_6_25_An_free	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR27021966	SRX22714365	SAMN38578494	PRJNA1047651	SRP475376	Illumina_5370_3	Illumina_5370_3	Illumina NovaSeq 6000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
