filename	bytes	sha256
AUDIT.md	19557	7f8eb6bfdcc2270bd396b7511709052737851cf6c36f826fc2cfab12f203c5b9
all_deposited_run_membership.tsv	5059	aaae412b8a910a804596c8a21a4f2e464af49384488ee0f67a6d9c11e8ca3e12
annotation_summary.tsv	273	c4994700799eee91646a4d07e2d92b35391eb3ff9d8c2ba280ea91d3dc95e38c
article.xml	138415	3c60182c93e0909e3fd7c027d8bbb02df8b1486f0febaddab194aeb8c4c02dd7
author_code_v0.1.0-alpha.zip	16454	5b8efb6d539ff29a4c80a8b5cd0108367c0855453fce08cc64d3f1c061d5b5f8
authoritative_run_table.tsv	26154	9bc8fd9fd66561a556f089b93ff24b6b24230446fb45ca4ed82faf4e9d9dfaa3
cell_lineage.tsv	28051109	0370e04fa7fa5099aabd3acadd78552e76b2b53dc4780ec9ab3511df8db6b332
ena_PRJNA1047651.xml	1959	4597349bc933164f234c43ca2da3ccc3aa3569758c06d5ff85c802ccd79b791f
ena_PRJNA1047651_runs.tsv	7893	af44cdda8373d4598c5e74304b50920aaf5667d2e54c759c3a733eaf3713072a
exact_count_duplicates.tsv	38	9afb1bc3b8d39849457c2e8dfd4909c6216e069ff63373039b6d7af8fa219853
expression_concordance.tsv	246	3c143e971ae8120c95d3e333efa3bd2b0eef38357e7a7e84008f9541dc483a40
expression_validation.txt	306	690cdb3f3435e3557c81e955fdb1483a4d42338379f4de256af5e4488ff67bd9
hpi_lifecycle_impact.tsv	49589	3d519660f6a164ade4298e9dcf5f571ea0e3401956de3c5dd14ef70fac9e6a4d
inspect_expression_lineage.R	3054	5a1d10057e8e9d7ff9431abd9ff055403f88e0f24f724db3573a7e6053682641
inspect_hazzard2024.R	22324	d1a7089d69e8171365f525fb7350f5669eeb908986715f6c2ebd4ff0089de30c
inventory_summary.tsv	534	84622942998a766c7127c952a8c441119dc29050cb05fd7c5b803172c2fa6568
metadata_discrepancies.tsv	4675	8ea312dadf7305a4c28a48730018d48b81bdd0a21d26c9beaa1f84fc00e76752
ncbi_biosamples.xml	85756	81eba68b3213868e6e803a5c9b3d62310acf5a06fa5416cfd4c72321cec98cb5
source_genotype_condition_counts.tsv	1117	347a4ca3647d168cbd91eb500979dd3e1cd27c43684f39e1f31696503175cfd5
source_retrievals.tsv	1047	e31525dc9bc6b2b1cacc54d48b0737b6b9633f22c7b54ce5dc3e3921381e807e
source_vs_deployed_lifecycle.tsv	4711	bd649d339947ed4330c2373bb3fb702bbf9ea9b17e0ef20dce08d6addfd72c51
study_to_deployed_metadata_concordance.tsv	489	7a12fc7028b3511bbf95fb2dabb65fbc4d1c32ba5025832a360b60fda41e89ac
supplemental_data_1.xlsx	16859	15d6acec8fea6e2cf86f95fe08f475b1fb0b88871cd6cdebfaefde6cc21b5216
validation.txt	1182	8c64a4be45bd31baace22ca0e04d014ec9a176c9630981cfb1631640c4050aa5
