run_id	host_id	strain	day_post_infection	hour_post_invasion	life_cycle_stage	pred_gametocyte	cells
SRR27021955	5309_2	Chesson	16	12	Ring	Asexual 1	22
SRR27021955	5309_2	Chesson	16	24	Female gametocyte	Female gametocyte	2
SRR27021955	5309_2	Chesson	16	24	Trophozoite	Asexual 1	30
SRR27021955	5309_2	Chesson	16	24	Trophozoite	Asexual 2	12
SRR27021955	5309_2	Chesson	16	24	Trophozoite	Asexual 4	1
SRR27021955	5309_2	Chesson	16	32	Schizont (Blood stage)	Asexual 1	1
SRR27021955	5309_2	Chesson	16	32	Schizont (Blood stage)	Asexual 2	54
SRR27021955	5309_2	Chesson	16	32	Schizont (Blood stage)	Asexual 4	2
SRR27021955	5309_2	Chesson	16	36	Female gametocyte	Female gametocyte	126
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 1	1
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 2	1224
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 3	51
SRR27021955	5309_2	Chesson	16	36	Schizont (Blood stage)	Asexual 4	13
SRR27021955	5309_2	Chesson	16	42	Female gametocyte	Female gametocyte	13
SRR27021955	5309_2	Chesson	16	42	Schizont (Blood stage)	Asexual 2	66
SRR27021955	5309_2	Chesson	16	42	Schizont (Blood stage)	Asexual 3	468
SRR27021955	5309_2	Chesson	16	42	Schizont (Blood stage)	Asexual 4	7
SRR27021955	5309_2	Chesson	16	48	Female gametocyte	Female gametocyte	187
SRR27021955	5309_2	Chesson	16	48	Merozoite	Asexual 3	72
SRR27021955	5309_2	Chesson	16	48	Merozoite	Asexual 4	10
SRR27021955	5309_2	Chesson	16	6	Female gametocyte	Female gametocyte	37
SRR27021955	5309_2	Chesson	16	6	Ring	Asexual 1	4
SRR27021956	5309_1	Chesson	14	12	Ring	Asexual 1	141
SRR27021956	5309_1	Chesson	14	12	Ring	Asexual 2	1
SRR27021956	5309_1	Chesson	14	12	Ring	Asexual 3	5
SRR27021956	5309_1	Chesson	14	24	Female gametocyte	Female gametocyte	9
SRR27021956	5309_1	Chesson	14	24	Trophozoite	Asexual 1	635
SRR27021956	5309_1	Chesson	14	24	Trophozoite	Asexual 2	134
SRR27021956	5309_1	Chesson	14	24	Trophozoite	Asexual 3	10
SRR27021956	5309_1	Chesson	14	32	Female gametocyte	Female gametocyte	8
SRR27021956	5309_1	Chesson	14	32	Schizont (Blood stage)	Asexual 1	46
SRR27021956	5309_1	Chesson	14	32	Schizont (Blood stage)	Asexual 2	116
SRR27021956	5309_1	Chesson	14	32	Schizont (Blood stage)	Asexual 4	6
SRR27021956	5309_1	Chesson	14	36	Female gametocyte	Female gametocyte	248
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 1	20
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 2	549
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 3	31
SRR27021956	5309_1	Chesson	14	36	Schizont (Blood stage)	Asexual 4	47
SRR27021956	5309_1	Chesson	14	42	Female gametocyte	Female gametocyte	18
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 1	3
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 2	16
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 3	804
SRR27021956	5309_1	Chesson	14	42	Schizont (Blood stage)	Asexual 4	19
SRR27021956	5309_1	Chesson	14	48	Female gametocyte	Female gametocyte	147
SRR27021956	5309_1	Chesson	14	48	Merozoite	Asexual 2	1
SRR27021956	5309_1	Chesson	14	48	Merozoite	Asexual 3	160
SRR27021956	5309_1	Chesson	14	48	Merozoite	Asexual 4	6
SRR27021956	5309_1	Chesson	14	6	Female gametocyte	Female gametocyte	29
SRR27021956	5309_1	Chesson	14	6	Ring	Asexual 1	28
SRR27021956	5309_1	Chesson	14	6	Ring	Asexual 3	3
SRR27021956	5309_1	Chesson	14	6	Ring	Asexual 4	2
SRR27021960	5708_4	Chesson&NIH1993	26	12	Female gametocyte	Female gametocyte	5
SRR27021960	5708_4	Chesson&NIH1993	26	12	Ring	Asexual 1	22
SRR27021960	5708_4	Chesson&NIH1993	26	12	Ring	Asexual 2	1
SRR27021960	5708_4	Chesson&NIH1993	26	24	Female gametocyte	Female gametocyte	22
SRR27021960	5708_4	Chesson&NIH1993	26	24	Trophozoite	Asexual 1	136
SRR27021960	5708_4	Chesson&NIH1993	26	24	Trophozoite	Asexual 2	88
