metric	value
deposited_runs	43
chunk_imported_runs	30
retained_runs	24
publication_cells_gt1000	80024
deposited_processed_rows	80024
study_rds_cells	80024
deployed_cells	80024
unique_source_ids	80024
unique_plavisca_ids	80024
study_features	6583
study_count_nnz	47311903
host_id_error_cells	19810
strain_error_cells	16321
day_error_cells	9644
technology_typo_cells	80024
missing_biological_replicate_cells	80024
hpi_nonmissing_cells	80024
female_gametocyte_cells	20292
exact_duplicate_profile_groups	0
exact_duplicate_profile_cells	0
