issue	run_id	observed	expected	affected_cells
deployed strain excludes deposited cell genotype	SRR27021993	NIH1993-F3	Chesson	16321
missing biological replicate despite known animal	SRR27021955	NA	5309	2403
missing biological replicate despite known animal	SRR27021956	NA	5309	3242
missing biological replicate despite known animal	SRR27021960	NA	5708	4028
missing biological replicate despite known animal	SRR27021966	NA	5370	774
missing biological replicate despite known animal	SRR27021967	NA	5370	1064
missing biological replicate despite known animal	SRR27021968	NA	5370	1181
missing biological replicate despite known animal	SRR27021969	NA	5350	1738
missing biological replicate despite known animal	SRR27021970	NA	5350	3177
missing biological replicate despite known animal	SRR27021971	NA	5708	3517
missing biological replicate despite known animal	SRR27021972	NA	5350	2950
missing biological replicate despite known animal	SRR27021975	NA	5164	1832
missing biological replicate despite known animal	SRR27021976	NA	5164	3881
missing biological replicate despite known animal	SRR27021980	NA	5163	1836
missing biological replicate despite known animal	SRR27021981	NA	5163	4166
missing biological replicate despite known animal	SRR27021982	NA	5708	628
missing biological replicate despite known animal	SRR27021983	NA	5550	1971
missing biological replicate despite known animal	SRR27021984	NA	5537	4841
missing biological replicate despite known animal	SRR27021985	NA	5537	1783
missing biological replicate despite known animal	SRR27021986	NA	5537	3489
missing biological replicate despite known animal	SRR27021987	NA	5537	6065
missing biological replicate despite known animal	SRR27021991	NA	5142	2627
missing biological replicate despite known animal	SRR27021992	NA	5142	5629
missing biological replicate despite known animal	SRR27021993	NA	5708	16321
missing biological replicate despite known animal	SRR27021994	NA	4881	881
misspelled technology label	SRR27021955	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	2403
misspelled technology label	SRR27021956	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	3242
misspelled technology label	SRR27021960	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	4028
misspelled technology label	SRR27021966	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	774
misspelled technology label	SRR27021967	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1064
misspelled technology label	SRR27021968	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1181
misspelled technology label	SRR27021969	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1738
misspelled technology label	SRR27021970	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	3177
misspelled technology label	SRR27021971	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	3517
misspelled technology label	SRR27021972	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	2950
misspelled technology label	SRR27021975	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1832
misspelled technology label	SRR27021976	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	3881
misspelled technology label	SRR27021980	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1836
misspelled technology label	SRR27021981	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	4166
misspelled technology label	SRR27021982	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	628
misspelled technology label	SRR27021983	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1971
misspelled technology label	SRR27021984	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	4841
misspelled technology label	SRR27021985	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	1783
misspelled technology label	SRR27021986	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	3489
misspelled technology label	SRR27021987	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	6065
misspelled technology label	SRR27021991	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	2627
misspelled technology label	SRR27021992	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	5629
misspelled technology label	SRR27021993	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	16321
misspelled technology label	SRR27021994	10x_Chomium_V3	10X Genomics 3-prime scRNA-seq; kit 1000268	881
wrong day post infection	SRR27021970	31	30	3177
wrong day post infection	SRR27021971	30	24	3517
wrong day post infection	SRR27021972	24	29	2950
wrong host/library ID	SRR27021986	5537_3	5537_2	3489
wrong host/library ID	SRR27021993	5709_1	5708_1	16321
