source_group	Genotype	Condition	source_cells
4881_1	Chesson	mono_CH	881
5142_1	NIH	mono_NIH	5629
5142_2	NIH	mono_NIH	2627
5163_1	Chesson	Coinfection	1915
5163_1	NIH	Coinfection	2251
5163_2	Chesson	Coinfection	1127
5163_2	NIH	Coinfection	709
5164_1	Chesson	Coinfection	1816
5164_1	NIH	Coinfection	2065
5164_2	Chesson	Coinfection	969
5164_2	NIH	Coinfection	863
5309_1	Chesson	mono_CH	3242
5309_2	Chesson	mono_CH	2403
5350_1	NIH	Outcross	1309
5350_1	Outcross	Outcross	1641
5350_2	NIH	Outcross	1449
5350_2	Outcross	Outcross	1728
5350_3	NIH	Outcross	697
5350_3	Outcross	Outcross	1041
5370_1	NIH	Outcross	1142
5370_1	Outcross	Outcross	39
5370_2	NIH	Outcross	1012
5370_2	Outcross	Outcross	52
5370_3	NIH	Outcross	746
5370_3	Outcross	Outcross	28
5537_1	NIH	mono_NIH	6065
5537_2	Chesson	NIH_CH	1
5537_2	NIH	NIH_CH	3488
5537_3	Chesson	NIH_CH	1
5537_3	NIH	NIH_CH	1782
5537_4	Chesson	NIH_CH	12
5537_4	NIH	NIH_CH	4829
5550_1	NIH	mono_NIH	1971
5708_1	Chesson	mono_CH	16321
5708_2	Chesson	CH_NIH	625
5708_2	NIH	CH_NIH	2
5708_2	NA	CH_NIH	1
5708_3	Chesson	CH_NIH	3508
5708_3	NIH	CH_NIH	9
5708_4	Chesson	CH_NIH	4023
5708_4	NIH	CH_NIH	5
