author_pseudotime_group	deployed_hpi	deployed_lifecycle	deployed_cluster_interpretation	cells
GroupA	12	Female gametocyte	Female gametocyte	70
GroupA	12	Ring	Asexual 1	4339
GroupA	12	Ring	Asexual 2	28
GroupA	12	Ring	Asexual 3	9
GroupA	12	Ring	Asexual 4	3
GroupA	12	Ring	Asexual 5	9
GroupA	24	Female gametocyte	Female gametocyte	173
GroupA	24	Trophozoite	Asexual 1	12416
GroupA	24	Trophozoite	Asexual 2	2153
GroupA	24	Trophozoite	Asexual 3	20
GroupA	24	Trophozoite	Asexual 4	3
GroupA	24	Trophozoite	Asexual 5	5
GroupA	24	Trophozoite	Asexual 9	1
GroupA	32	Female gametocyte	Female gametocyte	112
GroupA	32	Schizont (Blood stage)	Asexual 1	3302
GroupA	32	Schizont (Blood stage)	Asexual 2	2610
GroupA	32	Schizont (Blood stage)	Asexual 4	11
GroupA	32	Schizont (Blood stage)	Asexual 5	6
GroupA	36	Female gametocyte	Female gametocyte	240
GroupA	36	Schizont (Blood stage)	Asexual 1	2435
GroupA	36	Schizont (Blood stage)	Asexual 2	8046
GroupA	36	Schizont (Blood stage)	Asexual 3	3
GroupA	36	Schizont (Blood stage)	Asexual 4	8
GroupA	36	Schizont (Blood stage)	Asexual 5	1
GroupA	42	Female gametocyte	Female gametocyte	44
GroupA	42	Schizont (Blood stage)	Asexual 1	528
GroupA	42	Schizont (Blood stage)	Asexual 2	67
GroupA	42	Schizont (Blood stage)	Asexual 3	20
GroupA	42	Schizont (Blood stage)	Asexual 4	4
GroupA	42	Schizont (Blood stage)	Asexual 5	2
GroupA	48	Female gametocyte	Female gametocyte	45
GroupA	48	Merozoite	Asexual 1	423
GroupA	48	Merozoite	Asexual 2	3
GroupA	48	Merozoite	Asexual 3	7
GroupA	48	Merozoite	Asexual 4	3
GroupA	6	Female gametocyte	Female gametocyte	111
GroupA	6	Ring	Asexual 1	2156
GroupA	6	Ring	Asexual 2	6
GroupA	6	Ring	Asexual 3	14
GroupA	6	Ring	Asexual 4	3
GroupA	6	Ring	Asexual 5	5
GroupB	12	Ring	Asexual 2	2
GroupB	12	Ring	Asexual 3	2
GroupB	24	Trophozoite	Asexual 1	1
GroupB	24	Trophozoite	Asexual 3	6
GroupB	32	Female gametocyte	Female gametocyte	1
GroupB	32	Schizont (Blood stage)	Asexual 3	15
GroupB	36	Female gametocyte	Female gametocyte	14
GroupB	36	Schizont (Blood stage)	Asexual 1	2
GroupB	36	Schizont (Blood stage)	Asexual 2	8797
GroupB	36	Schizont (Blood stage)	Asexual 3	824
GroupB	36	Schizont (Blood stage)	Asexual 4	5
GroupB	42	Female gametocyte	Female gametocyte	5
GroupB	42	Schizont (Blood stage)	Asexual 1	7
GroupB	42	Schizont (Blood stage)	Asexual 2	334
GroupB	42	Schizont (Blood stage)	Asexual 3	2139
GroupB	42	Schizont (Blood stage)	Asexual 4	4
GroupB	48	Female gametocyte	Female gametocyte	1
GroupB	48	Merozoite	Asexual 1	1
GroupB	48	Merozoite	Asexual 2	1
GroupB	48	Merozoite	Asexual 3	261
GroupC	12	Ring	Asexual 1	31
GroupC	12	Ring	Asexual 3	16
GroupC	24	Female gametocyte	Female gametocyte	1
GroupC	24	Trophozoite	Asexual 1	40
GroupC	24	Trophozoite	Asexual 3	7
GroupC	32	Schizont (Blood stage)	Asexual 1	4
GroupC	32	Schizont (Blood stage)	Asexual 3	2
GroupC	36	Female gametocyte	Female gametocyte	2
GroupC	36	Schizont (Blood stage)	Asexual 1	35
GroupC	36	Schizont (Blood stage)	Asexual 2	1
GroupC	36	Schizont (Blood stage)	Asexual 3	14
GroupC	42	Female gametocyte	Female gametocyte	6
GroupC	42	Schizont (Blood stage)	Asexual 1	128
GroupC	42	Schizont (Blood stage)	Asexual 2	1
GroupC	42	Schizont (Blood stage)	Asexual 3	5420
GroupC	42	Schizont (Blood stage)	Asexual 4	5
GroupC	48	Female gametocyte	Female gametocyte	10
GroupC	48	Merozoite	Asexual 1	63
GroupC	48	Merozoite	Asexual 3	1314
GroupC	48	Merozoite	Asexual 4	1
GroupC	6	Ring	Asexual 1	36
GroupC	6	Ring	Asexual 3	12
Sexual	12	Female gametocyte	Female gametocyte	155
Sexual	12	Ring	Asexual 1	18
Sexual	12	Ring	Asexual 4	4
Sexual	24	Female gametocyte	Female gametocyte	783
Sexual	24	Trophozoite	Asexual 1	52
Sexual	24	Trophozoite	Asexual 2	22
Sexual	24	Trophozoite	Asexual 3	13
Sexual	24	Trophozoite	Asexual 4	27
Sexual	32	Female gametocyte	Female gametocyte	848
Sexual	32	Schizont (Blood stage)	Asexual 1	50
Sexual	32	Schizont (Blood stage)	Asexual 2	25
Sexual	32	Schizont (Blood stage)	Asexual 4	69
Sexual	36	Female gametocyte	Female gametocyte	11927
Sexual	36	Schizont (Blood stage)	Asexual 1	79
Sexual	36	Schizont (Blood stage)	Asexual 2	157
Sexual	36	Schizont (Blood stage)	Asexual 3	49
Sexual	36	Schizont (Blood stage)	Asexual 4	429
Sexual	42	Female gametocyte	Female gametocyte	1155
Sexual	42	Schizont (Blood stage)	Asexual 1	28
Sexual	42	Schizont (Blood stage)	Asexual 2	79
Sexual	42	Schizont (Blood stage)	Asexual 3	105
Sexual	42	Schizont (Blood stage)	Asexual 4	134
Sexual	48	Female gametocyte	Female gametocyte	3658
Sexual	48	Merozoite	Asexual 1	12
Sexual	48	Merozoite	Asexual 2	2
Sexual	48	Merozoite	Asexual 3	29
Sexual	48	Merozoite	Asexual 4	130
Sexual	6	Female gametocyte	Female gametocyte	931
Sexual	6	Ring	Asexual 1	12
Sexual	6	Ring	Asexual 2	2
Sexual	6	Ring	Asexual 3	4
Sexual	6	Ring	Asexual 4	21
