artifact	column	position
raw	study_pmid	1
raw	run_id	2
raw	study_label	3
raw	num_srr	4
raw	pub_year	5
raw	geographic_location	6
raw	sc_technology	7
raw	sequencer	8
raw	host_species	9
raw	host_id	10
raw	sample_type	11
raw	parasite_stage	12
raw	strain	13
raw	day_post_infection	14
raw	treatment	15
raw	biological_replicate	16
raw	barcode	17
raw	liver_form	18
raw	goegraphic_location	19
raw	sequncer	20
raw	refine_state	21
raw	hour_post_invasion	22
raw	life_cycle_stage	23
raw	seurat_clusters	24
raw	pred_gametocyte	25
raw	umap_u_1	26
raw	umap_u_2	27
raw	umap_u_3	28
raw	umap_i_1	29
raw	umap_i_2	30
raw	umap_i_3	31
raw	pca_u_1	32
raw	pca_u_2	33
raw	pca_u_3	34
raw	pca_i_1	35
raw	pca_i_2	36
raw	pca_i_3	37
raw	PVP01_0004350	38
raw	PVP01_0009210	39
raw	PVP01_0010840	40
raw	PVP01_0002050	41
raw	PVP01_0010440	42
raw	PVP01_0010200	43
raw	PVP01_0010670	44
raw	PVP01_0005210	45
raw	PVP01_0010710	46
raw	PVP01_0203300	47
raw	PVP01_0203400	48
raw	PVP01_0203700	49
raw	PVP01_0203800	50
raw	PVP01_0203900	51
raw	PVP01_0204000	52
raw	PVP01_0204200	53
raw	PVP01_0204300	54
raw	PVP01_0204400	55
raw	PVP01_0204500	56
raw	PVP01_0204600	57
raw	PVP01_0204700	58
raw	PVP01_0204800	59
raw	PVP01_0204900	60
raw	PVP01_0205000	61
raw	PVP01_0205100	62
raw	PVP01_0205200	63
raw	PVP01_0205300	64
raw	PVP01_0205400	65
raw	PVP01_0205500	66
raw	PVP01_0205600	67
raw	PVP01_0205700	68
raw	PVP01_0205900	69
raw	PVP01_0206000	70
raw	PVP01_0206100	71
raw	PVP01_0206200	72
raw	PVP01_0206300	73
raw	PVP01_0206400	74
raw	PVP01_0206500	75
raw	PVP01_0206600	76
raw	PVP01_0206700	77
raw	PVP01_0206800	78
raw	PVP01_0206900	79
raw	PVP01_0207000	80
raw	PVP01_0207100	81
raw	PVP01_0207200	82
raw	PVP01_0207300	83
raw	PVP01_0207400	84
raw	PVP01_0207500	85
raw	PVP01_0207600	86
raw	PVP01_0207700	87
raw	PVP01_0207800	88
raw	PVP01_0208000	89
raw	PVP01_0208300	90
raw	PVP01_0208400	91
raw	PVP01_0208500	92
raw	PVP01_0208600	93
raw	PVP01_0208800	94
raw	PVP01_0208900	95
raw	PVP01_0209000	96
raw	PVP01_0209400	97
raw	PVP01_0209500	98
raw	PVP01_0209600	99
raw	PVP01_0209700	100
raw	PVP01_0209900	101
raw	PVP01_0210200	102
raw	PVP01_0210400	103
raw	PVP01_0210500	104
raw	PVP01_0210600	105
raw	PVP01_0210700	106
raw	PVP01_0210800	107
raw	PVP01_0210900	108
raw	PVP01_0211000	109
raw	PVP01_0211200	110
raw	PVP01_0211300	111
raw	PVP01_0211400	112
raw	PVP01_0211500	113
raw	PVP01_0211700	114
raw	PVP01_0211800	115
raw	PVP01_0211900	116
raw	PVP01_0212000	117
raw	PVP01_0212100	118
raw	PVP01_0212200	119
raw	PVP01_0212300	120
raw	PVP01_0212400	121
raw	PVP01_0212600	122
raw	PVP01_0212700	123
raw	PVP01_0212800	124
raw	PVP01_0212900	125
raw	PVP01_0213000	126
raw	PVP01_0213100	127
raw	PVP01_0213200	128
raw	PVP01_0213600	129
raw	PVP01_0213700	130
raw	PVP01_0213800	131
raw	PVP01_0214200	132
raw	PVP01_0214300	133
raw	PVP01_0214400	134
raw	PVP01_0214500	135
raw	PVP01_0214600	136
raw	PVP01_0214700	137
raw	PVP01_0214800	138
raw	PVP01_0214900	139
raw	PVP01_0215000	140
raw	PVP01_0215100	141
raw	PVP01_0215200	142
raw	PVP01_0215300	143
raw	PVP01_0215400	144
raw	PVP01_0215500	145
raw	PVP01_0215600	146
raw	PVP01_0215700	147
raw	PVP01_0215900	148
raw	PVP01_0216000	149
raw	PVP01_0216100	150
raw	PVP01_0216200	151
raw	PVP01_0102900	152
raw	PVP01_0103200	153
raw	PVP01_0103300	154
raw	PVP01_0103400	155
raw	PVP01_0103500	156
raw	PVP01_0103600	157
raw	PVP01_0103700	158
raw	PVP01_0103800	159
raw	PVP01_0103900	160
raw	PVP01_0104100	161
raw	PVP01_0104300	162
raw	PVP01_0104400	163
raw	PVP01_0104500	164
raw	PVP01_0104600	165
raw	PVP01_0104700	166
raw	PVP01_0104800	167
raw	PVP01_0105000	168
raw	PVP01_0105200	169
raw	PVP01_0105300	170
raw	PVP01_0105500	171
raw	PVP01_0105600	172
raw	PVP01_0105700	173
raw	PVP01_0105900	174
raw	PVP01_0106000	175
raw	PVP01_0106200	176
raw	PVP01_0106300	177
raw	PVP01_0106400	178
raw	PVP01_0106500	179
raw	PVP01_0106600	180
raw	PVP01_0106700	181
raw	PVP01_0106800	182
raw	PVP01_0107400	183
raw	PVP01_0107500	184
raw	PVP01_0107900	185
raw	PVP01_0108000	186
raw	PVP01_0108100	187
raw	PVP01_0108300	188
raw	PVP01_0108400	189
raw	PVP01_0108500	190
raw	PVP01_0108600	191
raw	PVP01_0108700	192
raw	PVP01_0108800	193
raw	PVP01_0108900	194
raw	PVP01_0109000	195
raw	PVP01_0109100	196
raw	PVP01_0109200	197
raw	PVP01_0109300	198
raw	PVP01_0109400	199
raw	PVP01_0109500	200
raw	PVP01_0109600	201
raw	PVP01_0109700	202
raw	PVP01_0109800	203
raw	PVP01_0109900	204
raw	PVP01_0110000	205
raw	PVP01_0110100	206
raw	PVP01_0110200	207
raw	PVP01_0110300	208
raw	PVP01_0110400	209
raw	PVP01_0110500	210
raw	PVP01_0110600	211
raw	PVP01_0110700	212
raw	PVP01_0110800	213
raw	PVP01_0110900	214
raw	PVP01_0111000	215
raw	PVP01_0111100	216
raw	PVP01_0111200	217
raw	PVP01_0111300	218
raw	PVP01_0111400	219
raw	PVP01_0111500	220
raw	PVP01_0111700	221
raw	PVP01_0111900	222
raw	PVP01_0112000	223
raw	PVP01_0111950	224
raw	PVP01_0112100	225
raw	PVP01_0112200	226
raw	PVP01_0112300	227
raw	PVP01_0112400	228
raw	PVP01_0112500	229
raw	PVP01_0112800	230
raw	PVP01_0112900	231
raw	PVP01_0113200	232
raw	PVP01_0113300	233
raw	PVP01_0113400	234
raw	PVP01_0113500	235
raw	PVP01_0113600	236
raw	PVP01_0113700	237
raw	PVP01_0113800	238
raw	PVP01_0113900	239
raw	PVP01_0114000	240
raw	PVP01_0114100	241
raw	PVP01_0114200	242
raw	PVP01_0114300	243
raw	PVP01_0114400	244
raw	PVP01_0114600	245
raw	PVP01_0114700	246
raw	PVP01_0114800	247
raw	PVP01_0114900	248
raw	PVP01_0115000	249
raw	PVP01_0115300	250
raw	PVP01_0115400	251
raw	PVP01_0115500	252
raw	PVP01_0115600	253
raw	PVP01_0115700	254
raw	PVP01_0115900	255
raw	PVP01_0116000	256
raw	PVP01_0116100	257
raw	PVP01_0116200	258
raw	PVP01_0116300	259
raw	PVP01_0116500	260
raw	PVP01_0116600	261
raw	PVP01_0116800	262
raw	PVP01_0116900	263
raw	PVP01_0117000	264
raw	PVP01_0117100	265
raw	PVP01_0117200	266
raw	PVP01_0117300	267
raw	PVP01_0117400	268
raw	PVP01_0117500	269
raw	PVP01_0117600	270
raw	PVP01_0117700	271
raw	PVP01_0117800	272
raw	PVP01_0117900	273
raw	PVP01_0118000	274
raw	PVP01_0118100	275
raw	PVP01_0118300	276
raw	PVP01_0118400	277
raw	PVP01_0118500	278
raw	PVP01_0118600	279
raw	PVP01_0118800	280
raw	PVP01_0119400	281
raw	PVP01_0119500	282
raw	PVP01_1002400	283
raw	PVP01_1002500	284
raw	PVP01_1002700	285
raw	PVP01_1002800	286
raw	PVP01_1002900	287
raw	PVP01_1003000	288
raw	PVP01_1003100	289
raw	PVP01_1003200	290
raw	PVP01_1003300	291
raw	PVP01_1003400	292
raw	PVP01_1003600	293
raw	PVP01_1003700	294
raw	PVP01_1003800	295
raw	PVP01_1003900	296
