artifact	field	equal_cells	different_cells
raw	study_pmid	1494	0
raw	run_id	1494	0
raw	study_label	1494	0
raw	num_srr	1494	0
raw	pub_year	1494	0
raw	geographic_location	1494	0
raw	sc_technology	1494	0
raw	sequencer	1494	0
raw	host_species	1494	0
raw	host_id	1494	0
raw	sample_type	1494	0
raw	parasite_stage	1494	0
raw	strain	1494	0
raw	day_post_infection	1494	0
raw	treatment	1494	0
raw	biological_replicate	1494	0
raw	barcode	1494	0
raw	liver_form	1494	0
raw	goegraphic_location	1494	0
raw	sequncer	1494	0
raw	refine_state	1494	0
raw	hour_post_invasion	1494	0
raw	life_cycle_stage	1494	0
raw	seurat_clusters	1494	0
raw	pred_gametocyte	1494	0
raw	umap_u_1	1494	0
raw	umap_u_2	1494	0
raw	umap_u_3	1494	0
raw	umap_i_1	1494	0
raw	umap_i_2	1494	0
raw	umap_i_3	1494	0
raw	pca_u_1	1494	0
raw	pca_u_2	1494	0
raw	pca_u_3	1494	0
raw	pca_i_1	1494	0
raw	pca_i_2	1494	0
raw	pca_i_3	1494	0
normalize	study_pmid	1494	0
normalize	run_id	1494	0
normalize	study_label	1494	0
normalize	num_srr	1494	0
normalize	pub_year	1494	0
normalize	geographic_location	1494	0
normalize	sc_technology	1494	0
normalize	sequencer	1494	0
normalize	host_species	1494	0
normalize	host_id	1494	0
normalize	sample_type	1494	0
normalize	parasite_stage	1494	0
normalize	strain	1494	0
normalize	day_post_infection	1494	0
normalize	treatment	1494	0
normalize	biological_replicate	1494	0
normalize	barcode	1494	0
normalize	liver_form	1494	0
normalize	goegraphic_location	1494	0
normalize	sequncer	1494	0
normalize	refine_state	1494	0
normalize	hour_post_invasion	1494	0
normalize	life_cycle_stage	1494	0
normalize	seurat_clusters	1494	0
normalize	pred_gametocyte	1494	0
normalize	umap_u_1	1494	0
normalize	umap_u_2	1494	0
normalize	umap_u_3	1494	0
normalize	umap_i_1	1494	0
normalize	umap_i_2	1494	0
normalize	umap_i_3	1494	0
normalize	pca_u_1	1494	0
normalize	pca_u_2	1494	0
normalize	pca_u_3	1494	0
normalize	pca_i_1	1494	0
normalize	pca_i_2	1494	0
normalize	pca_i_3	1494	0
scale	study_pmid	1494	0
scale	run_id	1494	0
scale	study_label	1494	0
scale	num_srr	1494	0
scale	pub_year	1494	0
scale	geographic_location	1494	0
scale	sc_technology	1494	0
scale	sequencer	1494	0
scale	host_species	1494	0
scale	host_id	1494	0
scale	sample_type	1494	0
scale	parasite_stage	1494	0
scale	strain	1494	0
scale	day_post_infection	1494	0
scale	treatment	1494	0
scale	biological_replicate	1494	0
scale	barcode	1494	0
scale	liver_form	1494	0
scale	goegraphic_location	1494	0
scale	sequncer	1494	0
scale	refine_state	1494	0
scale	hour_post_invasion	1494	0
scale	life_cycle_stage	1494	0
scale	seurat_clusters	1494	0
scale	pred_gametocyte	1494	0
scale	umap_u_1	1494	0
scale	umap_u_2	1494	0
scale	umap_u_3	1494	0
scale	umap_i_1	1494	0
scale	umap_i_2	1494	0
scale	umap_i_3	1494	0
scale	pca_u_1	1494	0
scale	pca_u_2	1494	0
scale	pca_u_3	1494	0
scale	pca_i_1	1494	0
scale	pca_i_2	1494	0
scale	pca_i_3	1494	0
