run	sample	field	value	url
SRR11008270	SAMN13927938	TITLE	Indonesia-I_Ao_CQ 10X single-cell RNAseq	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	strain	Indonesia-I	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	collection_date	2018	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	host_disease	Malaria	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	host_description	Aotus 86574	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	INSDC secondary accession	SRS6096856	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	organism	Plasmodium vivax	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	collected_by	Juliana Sa	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	sample_type	blood	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	NCBI submission package	Microbe.1.0	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	host	Aotus nancymaae	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	geo_loc_name	USA: Rockville	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	host_disease_stage	0.46	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	lat_lon	39.0840 N 77.1528 W	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	isolation_source	NIH primate facility	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	BioSampleModel	Microbe, viral or environmental	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	ENA-FIRST-PUBLIC	2020-03-31	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008270	SAMN13927938	ENA-LAST-UPDATE	2020-03-31	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927938
SRR11008273	SAMN13927941	TITLE	Chesson_Sa 10X single-cell RNAseq	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	strain	Chesson	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	collection_date	2018	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	host_disease	Malaria	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	host_description	Saimiri 4215	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	INSDC secondary accession	SRS6096854	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	organism	Plasmodium vivax	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
SRR11008273	SAMN13927941	collected_by	Juliana Sa	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN13927941
