deposit	filename	bytes	checksum	url
zenodo_hazzard2024	Proccessed_Data.txt	9792598	md5:6ede1f7da4e5d57841c9f90883b2b2c1	https://zenodo.org/api/records/12775216/files/Proccessed_Data.txt/content
zenodo_hazzard2024	Single_Cell_Count_Table.txt.zip	138944244	md5:276aa89b96636e9091a05cd43166465e	https://zenodo.org/api/records/12775216/files/Single_Cell_Count_Table.txt.zip/content
zenodo_ruberto_liver	10x_version3_whitelist.txt	115512960	md5:3d36d0a4021fd292b265e2b5e72aaaf3	https://zenodo.org/api/records/6463338/files/10x_version3_whitelist.txt/content
zenodo_ruberto_liver	Homo_sapiens.GRCh38.cdna.all.fa.gz	72508612	md5:95d07b2365e7c4dea8f27dc3fe60e06a	https://zenodo.org/api/records/6463338/files/Homo_sapiens.GRCh38.cdna.all.fa.gz/content
zenodo_ruberto_liver	Hs_Pv_T2G.txt	8723021	md5:7b15e70f19f175805656074784bf5a7b	https://zenodo.org/api/records/6463338/files/Hs_Pv_T2G.txt/content
zenodo_ruberto_liver	Pv_Hep_scRNAseq_R_scripts.zip	18390	md5:5156359c645a09aafefa1971bf49bb69	https://zenodo.org/api/records/6463338/files/Pv_Hep_scRNAseq_R_scripts.zip/content
zenodo_ruberto_liver	Pv_Hep_scRNAseq_Shell_scripts.zip	3816	md5:985935e637995b241da8177547b61336	https://zenodo.org/api/records/6463338/files/Pv_Hep_scRNAseq_Shell_scripts.zip/content
zenodo_ruberto_liver	PlasmoDB-51_PvivaxP01_AnnotatedTranscripts.fa.gz	6686948	md5:5666673e769f66aef3ebe2196cff63bc	https://zenodo.org/api/records/6463338/files/PlasmoDB-51_PvivaxP01_AnnotatedTranscripts.fa.gz/content
zenodo_ruberto_liver	Pv_Hep_scRNAseq_Shell_scripts_outputs.zip	2726585817	md5:e7ce165e9bd4120ecba82d90f33803b8	https://zenodo.org/api/records/6463338/files/Pv_Hep_scRNAseq_Shell_scripts_outputs.zip/content
zenodo_ruberto_liver	Pv_Hep_scRNAseq_R_scripts_outputs.zip	14530281895	md5:d2e07271b60091997e59808dc56a2fe6	https://zenodo.org/api/records/6463338/files/Pv_Hep_scRNAseq_R_scripts_outputs.zip/content
zenodo_ruberto_spz	Real_PfSpz_scRNAseq_matrices.zip	1481312	md5:531332acfa10ada108f1b00e45917c89	https://zenodo.org/api/records/6474355/files/Real_PfSpz_scRNAseq_matrices.zip/content
zenodo_ruberto_spz	Sa_BloodStage_scRNAseq_matrices.zip	168782947	md5:dbecb0938d8595f6743edf0ff299e379	https://zenodo.org/api/records/6474355/files/Sa_BloodStage_scRNAseq_matrices.zip/content
zenodo_ruberto_spz	PvSpz_scRNAseq_scripts.zip	10755207	md5:0f259d6a9722e5e3b62a79ae1487a1aa	https://zenodo.org/api/records/6474355/files/PvSpz_scRNAseq_scripts.zip/content
zenodo_ruberto_spz	PvSpz_scRNAseq_matrices.zip	190127798	md5:a26086500974c3e59cccea97eef8537f	https://zenodo.org/api/records/6474355/files/PvSpz_scRNAseq_matrices.zip/content
zenodo_ruberto_spz	outputs.zip	397164572	md5:abe00907bf440b365459b07e9399e09b	https://zenodo.org/api/records/6474355/files/outputs.zip/content
