study_label	run_id	host_id	strain	day_post_infection	treatment	host_species	liver_form	cells
Hazzard2022	SRR20710498	NA	Sal1/Chesson	NA	NA	Anopheles freeborni	NA	1433
Hazzard2022	SRR20710499	NA	Sal1/Chesson	NA	NA	Anopheles stephensi	NA	1425
Hazzard2022	SRR20710500	NA	Sal1	NA	NA	Saimiri boliviensis	NA	362
Hazzard2022	SRR20710501	NA	Sal1	NA	NA	Saimiri boliviensis	NA	74
Hazzard2024	SRR27021955	5309_2	Chesson	16	NA	Saimiri boliviensis	NA	2403
Hazzard2024	SRR27021956	5309_1	Chesson	14	NA	Saimiri boliviensis	NA	3242
Hazzard2024	SRR27021960	5708_4	Chesson&NIH1993	26	NA	Saimiri boliviensis	NA	4028
Hazzard2024	SRR27021966	5370_3	Coinfection NIH1993-F3&Chesson	31	NA	Saimiri boliviensis	NA	774
Hazzard2024	SRR27021967	5370_2	Coinfection NIH1993-F3&Chesson	30	NA	Saimiri boliviensis	NA	1064
Hazzard2024	SRR27021968	5370_1	Coinfection NIH1993-F3&Chesson	29	NA	Saimiri boliviensis	NA	1181
Hazzard2024	SRR27021969	5350_3	Coinfection NIH1993-F3&Chesson	31	NA	Saimiri boliviensis	NA	1738
Hazzard2024	SRR27021970	5350_2	Coinfection NIH1993-F3&Chesson	31	NA	Saimiri boliviensis	NA	3177
Hazzard2024	SRR27021971	5708_3	Chesson&NIH1993	30	NA	Saimiri boliviensis	NA	3517
Hazzard2024	SRR27021972	5350_1	Coinfection NIH1993-F3&Chesson	24	NA	Saimiri boliviensis	NA	2950
Hazzard2024	SRR27021975	5164_2	NIH1993-F3&Chesson	16	NA	Saimiri boliviensis	NA	1832
Hazzard2024	SRR27021976	5164_1	NIH1993-F3&Chesson	14	NA	Saimiri boliviensis	NA	3881
Hazzard2024	SRR27021980	5163_2	NIH1993-F3&Chesson	16	NA	Saimiri boliviensis	NA	1836
Hazzard2024	SRR27021981	5163_1	NIH1993-F3&Chesson	14	NA	Saimiri boliviensis	NA	4166
Hazzard2024	SRR27021982	5708_2	NIH1993-F3&Chesson	21	NA	Saimiri boliviensis	NA	628
Hazzard2024	SRR27021983	5550_1	NIH1993-F3&Chesson	17	NA	Saimiri boliviensis	NA	1971
Hazzard2024	SRR27021984	5537_4	NIH1993-F3&Chesson	26	NA	Saimiri boliviensis	NA	4841
Hazzard2024	SRR27021985	5537_3	NIH1993-F3&Chesson	24	NA	Saimiri boliviensis	NA	1783
Hazzard2024	SRR27021986	5537_3	NIH1993-F3&Chesson	21	NA	Saimiri boliviensis	NA	3489
Hazzard2024	SRR27021987	5537_1	NIH1993-F3&Chesson	16	NA	Saimiri boliviensis	NA	6065
Hazzard2024	SRR27021991	5142_2	NIH1993-F3	17	NA	Saimiri boliviensis	NA	2627
Hazzard2024	SRR27021992	5142_1	NIH1993-F3	14	NA	Saimiri boliviensis	NA	5629
Hazzard2024	SRR27021993	5709_1	NIH1993-F3	17	NA	Saimiri boliviensis	NA	16321
Hazzard2024	SRR27021994	4881_1	Chesson	17	NA	Saimiri boliviensis	NA	881
Mancio_silva2022	SRR18134227	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134228	NA	patient isolate	1	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134229	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134230	NA	patient isolate	5	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134231	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
Mancio_silva2022	SRR18134232	NA	patient isolate	8	No_Treatment	Homo sapiens	NA	26
