study_label	sample_type	parasite_stage	life_cycle_stage	hour_post_invasion	cells
Hazzard2022	Host blood	Blood stage	Female gametocyte	24	6
Hazzard2022	Host blood	Blood stage	Female gametocyte	32	3
Hazzard2022	Host blood	Blood stage	Female gametocyte	36	23
Hazzard2022	Host blood	Blood stage	Female gametocyte	42	5
Hazzard2022	Host blood	Blood stage	Female gametocyte	48	10
Hazzard2022	Host blood	Blood stage	Merozoite	48	10
Hazzard2022	Host blood	Blood stage	Ring	12	26
Hazzard2022	Host blood	Blood stage	Ring	6	5
Hazzard2022	Host blood	Blood stage	Schizont (Blood stage)	32	47
Hazzard2022	Host blood	Blood stage	Schizont (Blood stage)	36	217
Hazzard2022	Host blood	Blood stage	Schizont (Blood stage)	42	36
Hazzard2022	Host blood	Blood stage	Trophozoite	24	48
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	12	128
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	24	81
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	32	86
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	36	1055
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	42	666
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	48	698
Hazzard2022	Vector salivary gland	Blood stage	Sporozoite	6	144
Hazzard2024	Host blood	Blood stage	Female gametocyte	12	225
Hazzard2024	Host blood	Blood stage	Female gametocyte	24	957
Hazzard2024	Host blood	Blood stage	Female gametocyte	32	961
Hazzard2024	Host blood	Blood stage	Female gametocyte	36	12183
Hazzard2024	Host blood	Blood stage	Female gametocyte	42	1210
Hazzard2024	Host blood	Blood stage	Female gametocyte	48	3714
Hazzard2024	Host blood	Blood stage	Female gametocyte	6	1042
Hazzard2024	Host blood	Blood stage	Merozoite	48	2250
Hazzard2024	Host blood	Blood stage	Ring	12	4461
Hazzard2024	Host blood	Blood stage	Ring	6	2271
Hazzard2024	Host blood	Blood stage	Schizont (Blood stage)	32	6094
Hazzard2024	Host blood	Blood stage	Schizont (Blood stage)	36	20885
Hazzard2024	Host blood	Blood stage	Schizont (Blood stage)	42	9005
Hazzard2024	Host blood	Blood stage	Trophozoite	24	14766
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	12	17
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	24	120
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	32	80
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	36	43
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	42	42
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	48	15
Mancio_silva2022	Infected host hepatocytes	Liver stage	EEF	6	3
Mancio_silva2022	Infected host hepatocytes	Liver stage	Female gametocyte	32	3
Mancio_silva2022	Infected host hepatocytes	Liver stage	Female gametocyte	36	9
Mancio_silva2022	Infected host hepatocytes	Liver stage	Female gametocyte	42	8
Mancio_silva2022	Infected host hepatocytes	Liver stage	Female gametocyte	48	4
Mancio_silva2022	Infected host hepatocytes	Liver stage	Female gametocyte	6	1
Mancio_silva2022	Infected host hepatocytes	Liver stage	Hypnozoite	12	12
