Var1	Var2	Var3	Freq
Mancio_silva2022	Asexual 1	EEF	256
Mancio_silva2022	Asexual 2	EEF	11
Mancio_silva2022	Asexual 3	EEF	15
Mancio_silva2022	Asexual 4	EEF	7
Mancio_silva2022	Asexual 6	EEF	12
Mancio_silva2022	Female gametocyte	EEF	19
Mancio_silva2022	Asexual 1	Female gametocyte	15
Sa2020	Asexual 1	Female gametocyte	6
Sa2020	Asexual 2	Female gametocyte	5
Mancio_silva2022	Asexual 3	Female gametocyte	1
Mancio_silva2022	Asexual 4	Female gametocyte	2
Sa2020	Asexual 4	Female gametocyte	5
Hazzard2022	Female gametocyte	Female gametocyte	47
Hazzard2024	Female gametocyte	Female gametocyte	20292
Mancio_silva2022	Female gametocyte	Female gametocyte	7
Sa2020	Female gametocyte	Female gametocyte	1454
Mancio_silva2022	Asexual 1	Hypnozoite	228
Ruberto2022_1	Asexual 1	Hypnozoite	740
Ruberto2022_1	Asexual 10	Hypnozoite	22
Ruberto2022_1	Asexual 11	Hypnozoite	24
Ruberto2022_1	Asexual 12	Hypnozoite	21
Ruberto2022_1	Asexual 13	Hypnozoite	23
Ruberto2022_1	Asexual 14	Hypnozoite	21
Ruberto2022_1	Asexual 15	Hypnozoite	19
Ruberto2022_1	Asexual 16	Hypnozoite	21
Ruberto2022_1	Asexual 17	Hypnozoite	18
Ruberto2022_1	Asexual 18	Hypnozoite	20
Ruberto2022_1	Asexual 19	Hypnozoite	19
Mancio_silva2022	Asexual 2	Hypnozoite	12
Ruberto2022_1	Asexual 2	Hypnozoite	25
Ruberto2022_1	Asexual 20	Hypnozoite	17
Mancio_silva2022	Asexual 3	Hypnozoite	2
Mancio_silva2022	Asexual 4	Hypnozoite	11
Ruberto2022_1	Asexual 4	Hypnozoite	6
Ruberto2022_1	Asexual 5	Hypnozoite	81
Ruberto2022_1	Asexual 8	Hypnozoite	26
Ruberto2022_1	Asexual 9	Hypnozoite	24
Mancio_silva2022	Female gametocyte	Hypnozoite	19
Ruberto2022_1	Female gametocyte	Hypnozoite	20
Mancio_silva2022	Asexual 1	Male gametocyte	42
Mancio_silva2022	Asexual 3	Male gametocyte	8
Mancio_silva2022	Asexual 4	Male gametocyte	3
Sa2020	Asexual 4	Male gametocyte	11
Mancio_silva2022	Female gametocyte	Male gametocyte	4
Sa2020	Male gametocyte	Male gametocyte	200
Hazzard2024	Asexual 1	Merozoite	499
Mancio_silva2022	Asexual 1	Merozoite	55
Sa2020	Asexual 1	Merozoite	50
Hazzard2024	Asexual 2	Merozoite	6
Sa2020	Asexual 2	Merozoite	3
Hazzard2022	Asexual 3	Merozoite	10
Hazzard2024	Asexual 3	Merozoite	1611
Mancio_silva2022	Asexual 3	Merozoite	75
Sa2020	Asexual 3	Merozoite	145
Hazzard2024	Asexual 4	Merozoite	134
Mancio_silva2022	Asexual 4	Merozoite	4
Sa2020	Asexual 4	Merozoite	24
Mancio_silva2022	Female gametocyte	Merozoite	4
Hazzard2022	Asexual 1	Ring	28
Hazzard2024	Asexual 1	Ring	6592
Mancio_silva2022	Asexual 1	Ring	94
Sa2020	Asexual 1	Ring	430
Hazzard2022	Asexual 2	Ring	3
Hazzard2024	Asexual 2	Ring	38
Sa2020	Asexual 2	Ring	11
Hazzard2024	Asexual 3	Ring	57
Mancio_silva2022	Asexual 3	Ring	38
Sa2020	Asexual 3	Ring	4
Hazzard2024	Asexual 4	Ring	31
Sa2020	Asexual 4	Ring	4
Hazzard2024	Asexual 5	Ring	14
Hazzard2022	Asexual 1	Schizont (Blood stage)	1
Hazzard2024	Asexual 1	Schizont (Blood stage)	6598
Sa2020	Asexual 1	Schizont (Blood stage)	1006
Hazzard2022	Asexual 2	Schizont (Blood stage)	282
Hazzard2024	Asexual 2	Schizont (Blood stage)	20117
Sa2020	Asexual 2	Schizont (Blood stage)	3789
Hazzard2022	Asexual 3	Schizont (Blood stage)	16
Hazzard2024	Asexual 3	Schizont (Blood stage)	8591
Sa2020	Asexual 3	Schizont (Blood stage)	760
Hazzard2022	Asexual 4	Schizont (Blood stage)	1
Hazzard2024	Asexual 4	Schizont (Blood stage)	669
Sa2020	Asexual 4	Schizont (Blood stage)	54
Hazzard2024	Asexual 5	Schizont (Blood stage)	9
Mancio_silva2022	Asexual 1	Schizont (Liver stage)	69
Ruberto2022_1	Asexual 1	Schizont (Liver stage)	66
Ruberto2022_1	Asexual 10	Schizont (Liver stage)	8
Ruberto2022_1	Asexual 11	Schizont (Liver stage)	3
Ruberto2022_1	Asexual 12	Schizont (Liver stage)	6
Ruberto2022_1	Asexual 13	Schizont (Liver stage)	3
Ruberto2022_1	Asexual 14	Schizont (Liver stage)	5
Ruberto2022_1	Asexual 15	Schizont (Liver stage)	7
Ruberto2022_1	Asexual 16	Schizont (Liver stage)	5
Ruberto2022_1	Asexual 17	Schizont (Liver stage)	6
Ruberto2022_1	Asexual 18	Schizont (Liver stage)	4
Ruberto2022_1	Asexual 19	Schizont (Liver stage)	4
Mancio_silva2022	Asexual 2	Schizont (Liver stage)	134
Ruberto2022_1	Asexual 2	Schizont (Liver stage)	134
Ruberto2022_1	Asexual 20	Schizont (Liver stage)	2
Mancio_silva2022	Asexual 3	Schizont (Liver stage)	156
Mancio_silva2022	Asexual 4	Schizont (Liver stage)	1
Ruberto2022_1	Asexual 5	Schizont (Liver stage)	22
Mancio_silva2022	Asexual 6	Schizont (Liver stage)	113
Ruberto2022_1	Asexual 8	Schizont (Liver stage)	9
Ruberto2022_1	Asexual 9	Schizont (Liver stage)	7
Hazzard2022	Asexual 1	Sporozoite	2804
Ruberto2022_2	Asexual 1	Sporozoite	9944
Ruberto2022_2	Asexual 2	Sporozoite	1
Hazzard2022	Asexual 7	Sporozoite	53
Ruberto2022_2	Asexual 7	Sporozoite	2
Hazzard2022	Female gametocyte	Sporozoite	1
Hazzard2022	Asexual 1	Trophozoite	6
Hazzard2024	Asexual 1	Trophozoite	12509
Mancio_silva2022	Asexual 1	Trophozoite	72
Sa2020	Asexual 1	Trophozoite	1204
Hazzard2022	Asexual 2	Trophozoite	41
Hazzard2024	Asexual 2	Trophozoite	2175
Mancio_silva2022	Asexual 2	Trophozoite	2
Sa2020	Asexual 2	Trophozoite	590
Hazzard2024	Asexual 3	Trophozoite	46
Mancio_silva2022	Asexual 3	Trophozoite	1
Sa2020	Asexual 3	Trophozoite	4
Hazzard2022	Asexual 4	Trophozoite	1
Hazzard2024	Asexual 4	Trophozoite	30
Sa2020	Asexual 4	Trophozoite	7
Hazzard2024	Asexual 5	Trophozoite	5
Hazzard2024	Asexual 9	Trophozoite	1
Mancio_silva2022	Female gametocyte	Trophozoite	2
