source_group	mapped_run	pre_present	final_present	cells
4881_1	994	TRUE	TRUE	881
5142_1	992	TRUE	TRUE	5629
5142_2	991	TRUE	TRUE	2627
5163_1	981	TRUE	TRUE	4166
5163_2	980	TRUE	TRUE	1836
5164_1	976	TRUE	TRUE	3881
5164_2	975	TRUE	TRUE	1832
5309_1	956	TRUE	TRUE	3242
5309_2	955	TRUE	TRUE	2403
5350_1	972	TRUE	TRUE	2950
5350_2	970	TRUE	TRUE	3177
5350_3	969	TRUE	TRUE	1738
5370_1	968	TRUE	TRUE	1181
5370_2	967	TRUE	TRUE	1064
5370_3	966	TRUE	TRUE	774
5537_1	987	TRUE	TRUE	6065
5537_2	986	TRUE	TRUE	3489
5537_3	985	TRUE	TRUE	1783
5537_4	984	TRUE	TRUE	4841
5550_1	983	TRUE	TRUE	1971
5708_1	993	TRUE	TRUE	16321
5708_2	982	TRUE	TRUE	628
5708_3	971	TRUE	TRUE	3517
5708_4	960	TRUE	TRUE	4028
