run_accession	sample_alias	imported_by_chunk_script	retained_in_study_object	retained_cells
SRR27021954	Illumina_5309_AS1	False	False	0
SRR27021962	Illumina_SPZ_5164_6_21_A_An_steph	True	False	0
SRR27021964	Illumina_SPZ_5164_6_22_An_free	True	False	0
SRR27021968	Illumina_5370_1	True	True	1181
SRR27021970	Illumina_5350_2	True	True	3177
SRR27021984	Illumina_5537_4	True	True	4841
SRR27021990	Illumina_5142_AS1	False	False	0
SRR27021993	Illumina_5708_1	True	True	16321
SRR27021953	Illumina_5309_AS2	False	False	0
SRR27021955	Illumina_5309_2	True	True	2403
SRR27021965	Illumina_SPZ_5736_6_25_An_free	True	False	0
SRR27021966	Illumina_5370_3	True	True	774
SRR27021969	Illumina_5350_3	True	True	1738
SRR27021971	Illumina_5708_3	True	True	3517
SRR27021972	Illumina_5350_1	True	True	2950
SRR27021973	Illumina_5164_AS3	False	False	0
SRR27021980	Illumina_5163_2	True	True	1836
SRR27021981	Illumina_5163_1	True	True	4166
SRR27021983	Illumina_5550_1	True	True	1971
SRR27021989	Illumina_5142_AS2	False	False	0
SRR27021991	Illumina_5142_2	True	True	2627
SRR27021994	Illumina_4881_1	True	True	881
SRR27021952	Illumina_5309_AS3	False	False	0
SRR27021960	Illumina_5708_4	True	True	4028
SRR27021963	Illumina_SPZ_5736_6_25_An_steph	True	False	0
SRR27021967	Illumina_5370_2	True	True	1064
SRR27021974	Illumina_5164_AS2	False	False	0
SRR27021976	Illumina_5164_1	True	True	3881
SRR27021987	Illumina_5537_1	True	True	6065
SRR27021957	WGS_NIH	False	False	0
SRR27021961	Illumina_SPZ_5164_6_22_An_steph	True	False	0
SRR27021975	Illumina_5164_2	True	True	1832
SRR27021977	Illumina_5163_AS4	False	False	0
SRR27021978	Illumina_5163_AS2	False	False	0
SRR27021982	Illumina_5708_2	True	True	628
SRR27021985	Illumina_5537_3	True	True	1783
SRR27021986	Illumina_5537_2	True	True	3489
SRR27021988	Illumina_5142_AS3	False	False	0
SRR27021956	Illumina_5309_1	True	True	3242
SRR27021958	WGS_Chesson	False	False	0
SRR27021959	Illumina_SPZ_5736_6_24_An_steph	True	False	0
SRR27021979	Illumina_5163_AS1	False	False	0
SRR27021992	Illumina_5142_1	True	True	5629
