Var1	Var2	Var3	Var4	Freq
Mancio_silva2022	Infected host hepatocytes	EEF	12	17
Hazzard2024	Host blood	Female gametocyte	12	225
Sa2020	Host blood	Female gametocyte	12	6
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	12	12
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	12	49
Sa2020	Host blood	Male gametocyte	12	6
Mancio_silva2022	Infected host hepatocytes	Male gametocyte	12	2
Mancio_silva2022	Infected host hepatocytes	Merozoite	12	1
Hazzard2022	Host blood	Ring	12	26
Hazzard2024	Host blood	Ring	12	4461
Sa2020	Host blood	Ring	12	326
Mancio_silva2022	Infected host hepatocytes	Ring	12	5
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	12	2
Ruberto2022_1	Infected host hepatocytes	Schizont (Liver stage)	12	2
Hazzard2022	Vector salivary gland	Sporozoite	12	128
Ruberto2022_2	Vector salivary gland	Sporozoite	12	98
Mancio_silva2022	Infected host hepatocytes	Trophozoite	12	6
Mancio_silva2022	Infected host hepatocytes	EEF	24	120
Hazzard2022	Host blood	Female gametocyte	24	6
Hazzard2024	Host blood	Female gametocyte	24	957
Sa2020	Host blood	Female gametocyte	24	54
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	24	105
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	24	177
Sa2020	Host blood	Male gametocyte	24	12
Mancio_silva2022	Infected host hepatocytes	Male gametocyte	24	1
Mancio_silva2022	Infected host hepatocytes	Merozoite	24	6
Mancio_silva2022	Infected host hepatocytes	Ring	24	32
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	24	6
Ruberto2022_1	Infected host hepatocytes	Schizont (Liver stage)	24	85
Hazzard2022	Vector salivary gland	Sporozoite	24	81
Ruberto2022_2	Vector salivary gland	Sporozoite	24	191
Hazzard2022	Host blood	Trophozoite	24	48
Hazzard2024	Host blood	Trophozoite	24	14766
Sa2020	Host blood	Trophozoite	24	1805
Mancio_silva2022	Infected host hepatocytes	Trophozoite	24	31
Mancio_silva2022	Infected host hepatocytes	EEF	32	80
Hazzard2022	Host blood	Female gametocyte	32	3
Hazzard2024	Host blood	Female gametocyte	32	961
Sa2020	Host blood	Female gametocyte	32	89
Mancio_silva2022	Infected host hepatocytes	Female gametocyte	32	3
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	32	120
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	32	116
Sa2020	Host blood	Male gametocyte	32	24
Mancio_silva2022	Infected host hepatocytes	Male gametocyte	32	8
Mancio_silva2022	Infected host hepatocytes	Merozoite	32	13
Mancio_silva2022	Infected host hepatocytes	Ring	32	32
Hazzard2022	Host blood	Schizont (Blood stage)	32	47
Hazzard2024	Host blood	Schizont (Blood stage)	32	6094
Sa2020	Host blood	Schizont (Blood stage)	32	1325
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	32	9
Ruberto2022_1	Infected host hepatocytes	Schizont (Liver stage)	32	12
Hazzard2022	Vector salivary gland	Sporozoite	32	86
Ruberto2022_2	Vector salivary gland	Sporozoite	32	215
Mancio_silva2022	Infected host hepatocytes	Trophozoite	32	28
Mancio_silva2022	Infected host hepatocytes	EEF	36	43
Hazzard2022	Host blood	Female gametocyte	36	23
Hazzard2024	Host blood	Female gametocyte	36	12183
Sa2020	Host blood	Female gametocyte	36	1063
Mancio_silva2022	Infected host hepatocytes	Female gametocyte	36	9
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	36	24
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	36	736
Sa2020	Host blood	Male gametocyte	36	86
Mancio_silva2022	Infected host hepatocytes	Male gametocyte	36	20
Mancio_silva2022	Infected host hepatocytes	Merozoite	36	14
Mancio_silva2022	Infected host hepatocytes	Ring	36	18
Hazzard2022	Host blood	Schizont (Blood stage)	36	217
Hazzard2024	Host blood	Schizont (Blood stage)	36	20885
Sa2020	Host blood	Schizont (Blood stage)	36	3362
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	36	191
Ruberto2022_1	Infected host hepatocytes	Schizont (Liver stage)	36	189
Hazzard2022	Vector salivary gland	Sporozoite	36	1055
Ruberto2022_2	Vector salivary gland	Sporozoite	36	3886
Mancio_silva2022	Infected host hepatocytes	Trophozoite	36	6
Mancio_silva2022	Infected host hepatocytes	EEF	42	42
Hazzard2022	Host blood	Female gametocyte	42	5
Hazzard2024	Host blood	Female gametocyte	42	1210
Sa2020	Host blood	Female gametocyte	42	118
Mancio_silva2022	Infected host hepatocytes	Female gametocyte	42	8
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	42	3
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	42	23
Sa2020	Host blood	Male gametocyte	42	55
Mancio_silva2022	Infected host hepatocytes	Male gametocyte	42	11
Mancio_silva2022	Infected host hepatocytes	Merozoite	42	62
Mancio_silva2022	Infected host hepatocytes	Ring	42	25
Hazzard2022	Host blood	Schizont (Blood stage)	42	36
Hazzard2024	Host blood	Schizont (Blood stage)	42	9005
Sa2020	Host blood	Schizont (Blood stage)	42	922
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	42	187
Ruberto2022_1	Infected host hepatocytes	Schizont (Liver stage)	42	1
Hazzard2022	Vector salivary gland	Sporozoite	42	666
Ruberto2022_2	Vector salivary gland	Sporozoite	42	1730
Mancio_silva2022	Infected host hepatocytes	Trophozoite	42	3
Mancio_silva2022	Infected host hepatocytes	EEF	48	15
Hazzard2022	Host blood	Female gametocyte	48	10
Hazzard2024	Host blood	Female gametocyte	48	3714
Sa2020	Host blood	Female gametocyte	48	117
Mancio_silva2022	Infected host hepatocytes	Female gametocyte	48	4
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	48	2
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	48	16
Sa2020	Host blood	Male gametocyte	48	18
Mancio_silva2022	Infected host hepatocytes	Male gametocyte	48	15
Hazzard2022	Host blood	Merozoite	48	10
Hazzard2024	Host blood	Merozoite	48	2250
Sa2020	Host blood	Merozoite	48	222
Mancio_silva2022	Infected host hepatocytes	Merozoite	48	40
Mancio_silva2022	Infected host hepatocytes	Ring	48	20
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	48	77
Hazzard2022	Vector salivary gland	Sporozoite	48	698
Ruberto2022_2	Vector salivary gland	Sporozoite	48	3390
Mancio_silva2022	Infected host hepatocytes	Trophozoite	48	2
Mancio_silva2022	Infected host hepatocytes	EEF	6	3
Hazzard2024	Host blood	Female gametocyte	6	1042
Sa2020	Host blood	Female gametocyte	6	23
Mancio_silva2022	Infected host hepatocytes	Female gametocyte	6	1
Mancio_silva2022	Infected host hepatocytes	Hypnozoite	6	6
Ruberto2022_1	Infected host hepatocytes	Hypnozoite	6	30
Sa2020	Host blood	Male gametocyte	6	10
Mancio_silva2022	Infected host hepatocytes	Merozoite	6	2
Hazzard2022	Host blood	Ring	6	5
Hazzard2024	Host blood	Ring	6	2271
Sa2020	Host blood	Ring	6	123
Mancio_silva2022	Infected host hepatocytes	Schizont (Liver stage)	6	1
Ruberto2022_1	Infected host hepatocytes	Schizont (Liver stage)	6	2
Hazzard2022	Vector salivary gland	Sporozoite	6	144
Ruberto2022_2	Vector salivary gland	Sporozoite	6	437
Mancio_silva2022	Infected host hepatocytes	Trophozoite	6	1
