study	field	matched_cells	different
Sa2020	study_pmid	9766	0
Sa2020	run_id	9766	0
Sa2020	study_label	9766	0
Sa2020	num_srr	9766	0
Sa2020	pub_year	9766	0
Sa2020	geographic_location	9766	0
Sa2020	sc_technology	9766	0
Sa2020	sequencer	9766	0
Sa2020	host_species	9766	0
Sa2020	host_id	9766	0
Sa2020	sample_type	9766	9766
Sa2020	parasite_stage	9766	0
Sa2020	strain	9766	0
Sa2020	day_post_infection	9766	0
Sa2020	treatment	9766	0
Sa2020	biological_replicate	9766	0
Sa2020	barcode	9766	0
Ruberto2022_1	study_pmid	1438	0
Ruberto2022_1	run_id	1438	0
Ruberto2022_1	study_label	1438	0
Ruberto2022_1	num_srr	1438	0
Ruberto2022_1	pub_year	1438	0
Ruberto2022_1	geographic_location	1438	0
Ruberto2022_1	sc_technology	1438	0
Ruberto2022_1	sequencer	1438	0
Ruberto2022_1	host_species	1438	1438
Ruberto2022_1	host_id	1438	0
Ruberto2022_1	sample_type	1438	1438
Ruberto2022_1	parasite_stage	1438	0
Ruberto2022_1	strain	1438	0
Ruberto2022_1	day_post_infection	1438	0
Ruberto2022_1	treatment	1438	1093
Ruberto2022_1	biological_replicate	1438	0
Ruberto2022_1	barcode	1438	0
Ruberto2022_1	liver_form	1438	1438
Ruberto2022_2	study_pmid	9947	0
Ruberto2022_2	run_id	9947	0
Ruberto2022_2	study_label	9947	0
Ruberto2022_2	num_srr	9947	0
Ruberto2022_2	pub_year	9947	0
Ruberto2022_2	geographic_location	9947	0
Ruberto2022_2	sc_technology	9947	0
Ruberto2022_2	sequencer	9947	0
Ruberto2022_2	host_species	9947	0
Ruberto2022_2	host_id	9947	0
Ruberto2022_2	sample_type	9947	9947
Ruberto2022_2	parasite_stage	9947	0
Ruberto2022_2	strain	9947	0
Ruberto2022_2	day_post_infection	9947	0
Ruberto2022_2	treatment	9947	9947
Ruberto2022_2	biological_replicate	9947	0
Ruberto2022_2	barcode	9947	0
Hazzard2022	study_pmid	3294	0
Hazzard2022	run_id	3294	0
Hazzard2022	study_label	3294	0
Hazzard2022	num_srr	3294	0
Hazzard2022	pub_year	3294	0
Hazzard2022	geographic_location	3294	0
Hazzard2022	sc_technology	3294	0
Hazzard2022	sequencer	3294	0
Hazzard2022	host_species	3294	0
Hazzard2022	host_id	3294	0
Hazzard2022	sample_type	3294	3294
Hazzard2022	parasite_stage	3294	0
Hazzard2022	strain	3294	0
Hazzard2022	day_post_infection	3294	0
Hazzard2022	treatment	3294	3294
Hazzard2022	biological_replicate	3294	0
Hazzard2022	barcode	3294	0
Hazzard2024	study_pmid	80024	0
Hazzard2024	run_id	80024	0
Hazzard2024	study_label	80024	0
Hazzard2024	num_srr	80024	0
Hazzard2024	pub_year	80024	0
Hazzard2024	geographic_location	80024	0
Hazzard2024	sc_technology	80024	0
Hazzard2024	sequencer	80024	0
Hazzard2024	host_species	80024	0
Hazzard2024	host_id	80024	0
Hazzard2024	sample_type	80024	80024
Hazzard2024	parasite_stage	80024	0
Hazzard2024	strain	80024	0
Hazzard2024	day_post_infection	80024	0
Hazzard2024	treatment	80024	80024
Hazzard2024	biological_replicate	80024	0
Hazzard2024	barcode	80024	0
