study_label	run_id	host_species	host_id	strain	day_post_infection	sample_type	geographic_location	sc_technology	sequencer	treatment	pre_cells
Sa2020	SRR11008269	Saimiri boliviensis	3879	NIH-1993	15	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	972
Sa2020	SRR11008270	Aotus nancymaae	86574	Indonesia-I	16	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	CQ_(16h_5mg/kg)	632
Sa2020	SRR11008271	Aotus nancymaae	86574	Indonesia-I	12	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	2147
Sa2020	SRR11008272	Saimiri boliviensis	5541	NIH-1993	21	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	335
Sa2020	SRR11008273	Saimiri boliviensis	4215	Chesson	24	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	237
Sa2020	SRR11008274	Aotus nancymaae	86436	Chesson	16	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	CQ_(16h_10mg/kg)	478
Sa2020	SRR11008275	Aotus nancymaae	86436	Chesson	12	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	1022
Sa2020	SRR11008276	Saimiri boliviensis	5107	AMRU-I	24	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	255
Sa2020	SRR11008277	Aotus nancymaae	86416	AMRU-I	16	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	CQ_(16h_10mg/kg)	1960
Sa2020	SRR11008278	Aotus nancymaae	86416	AMRU-I	12	Mammalian host: blood	USA_Rockville	10x_Chomium_V2	Illumina HiSeq 4000	No_Treatment	1728
Ruberto2022_1	SRR19573609	Homo sapiens	BioIVT:BGW	Cambodia field isolate	9	Mammalian host: hepatocyte	Cambodia_Mondulkiri	10x_Chomium_V3	HiSeq X Ten	MMV390048	90
Ruberto2022_1	SRR19573610	Homo sapiens	BioIVT:BGW	Cambodia field isolate	5	Mammalian host: hepatocyte	Cambodia_Mondulkiri	10x_Chomium_V3	HiSeq X Ten	No_Treatment	457
Ruberto2022_1	SRR19573611	Homo sapiens	BioIVT:BGW	Cambodia field isolate	9	Mammalian host: hepatocyte	Cambodia_Mondulkiri	10x_Chomium_V3	HiSeq X Ten	MMV390048	255
Ruberto2022_1	SRR19573612	Homo sapiens	BioIVT:BGW	Cambodia field isolate	5	Mammalian host: hepatocyte	Cambodia_Mondulkiri	10x_Chomium_V3	HiSeq X Ten	No_Treatment	636
Ruberto2022_2	ERR5087438	Anopheles dirus	tax_id-7168	Cambodia field isolate	16	Vector host: salivary gland	Cambodia	10x_Chomium_V3	HiSeq X Ten	No_Treatment	3375
Ruberto2022_2	ERR5087439	Anopheles dirus	tax_id-7168	Cambodia field isolate	18	Vector host: salivary gland	Cambodia	10x_Chomium_V3	HiSeq X Ten	No_Treatment	4002
Ruberto2022_2	ERR5087440	Anopheles dirus	tax_id-7168	Cambodia field isolate	17	Vector host: salivary gland	Cambodia	10x_Chomium_V3	HiSeq X Ten	No_Treatment	2570
Hazzard2022	SRR20710498	Anopheles freeborni	NA	Sal1/Chesson	NA	Vector host: salivary gland	USA_District of Columbia	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1433
Hazzard2022	SRR20710499	Anopheles stephensi	NA	Sal1/Chesson	NA	Vector host: salivary gland	USA_District of Columbia	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1425
Hazzard2022	SRR20710500	Saimiri boliviensis	NA	Sal1	NA	Mammalian host: blood	USA_District of Columbia	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	362
Hazzard2022	SRR20710501	Saimiri boliviensis	NA	Sal1	NA	Mammalian host: blood	USA_District of Columbia	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	74
Hazzard2024	SRR27021955	Saimiri boliviensis	5309_2	Chesson	16	Mammalian host: blood	Papua New Guinea	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	2403
Hazzard2024	SRR27021956	Saimiri boliviensis	5309_1	Chesson	14	Mammalian host: blood	Papua New Guinea	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	3242
Hazzard2024	SRR27021960	Saimiri boliviensis	5708_4	Chesson&NIH1993	26	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	4028
Hazzard2024	SRR27021966	Saimiri boliviensis	5370_3	Coinfection NIH1993-F3&Chesson	31	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	774
Hazzard2024	SRR27021967	Saimiri boliviensis	5370_2	Coinfection NIH1993-F3&Chesson	30	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1064
Hazzard2024	SRR27021968	Saimiri boliviensis	5370_1	Coinfection NIH1993-F3&Chesson	29	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1181
Hazzard2024	SRR27021969	Saimiri boliviensis	5350_3	Coinfection NIH1993-F3&Chesson	31	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1738
Hazzard2024	SRR27021970	Saimiri boliviensis	5350_2	Coinfection NIH1993-F3&Chesson	31	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	3177
Hazzard2024	SRR27021971	Saimiri boliviensis	5708_3	Chesson&NIH1993	30	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	3517
Hazzard2024	SRR27021972	Saimiri boliviensis	5350_1	Coinfection NIH1993-F3&Chesson	24	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	2950
Hazzard2024	SRR27021975	Saimiri boliviensis	5164_2	NIH1993-F3&Chesson	16	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1832
Hazzard2024	SRR27021976	Saimiri boliviensis	5164_1	NIH1993-F3&Chesson	14	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	3881
Hazzard2024	SRR27021980	Saimiri boliviensis	5163_2	NIH1993-F3&Chesson	16	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1836
Hazzard2024	SRR27021981	Saimiri boliviensis	5163_1	NIH1993-F3&Chesson	14	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	4166
Hazzard2024	SRR27021982	Saimiri boliviensis	5708_2	NIH1993-F3&Chesson	21	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	628
Hazzard2024	SRR27021983	Saimiri boliviensis	5550_1	NIH1993-F3&Chesson	17	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1971
Hazzard2024	SRR27021984	Saimiri boliviensis	5537_4	NIH1993-F3&Chesson	26	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	4841
Hazzard2024	SRR27021985	Saimiri boliviensis	5537_3	NIH1993-F3&Chesson	24	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	1783
Hazzard2024	SRR27021986	Saimiri boliviensis	5537_3	NIH1993-F3&Chesson	21	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	3489
Hazzard2024	SRR27021987	Saimiri boliviensis	5537_1	NIH1993-F3&Chesson	16	Mammalian host: blood	Papua New Guinea/El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	6065
Hazzard2024	SRR27021991	Saimiri boliviensis	5142_2	NIH1993-F3	17	Mammalian host: blood	El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	2627
Hazzard2024	SRR27021992	Saimiri boliviensis	5142_1	NIH1993-F3	14	Mammalian host: blood	El Salvador	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	5629
Hazzard2024	SRR27021993	Saimiri boliviensis	5709_1	NIH1993-F3	17	Mammalian host: blood	Papua New Guinea	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	16321
Hazzard2024	SRR27021994	Saimiri boliviensis	4881_1	Chesson	17	Mammalian host: blood	Papua New Guinea	10x_Chomium_V3	Illumina NovaSeq 6000	No_Treatment	881
