source_group	source_unique_tokens	candidate_run	filtered_barcodes	overlap_tokens
AMRU_Ao	1709	SRR11008269	972	3
AMRU_Ao	1709	SRR11008270	632	1
AMRU_Ao	1709	SRR11008271	2147	4
AMRU_Ao	1709	SRR11008272	335	1
AMRU_Ao	1709	SRR11008273	237	0
AMRU_Ao	1709	SRR11008274	478	2
AMRU_Ao	1709	SRR11008275	1022	1
AMRU_Ao	1709	SRR11008276	255	0
AMRU_Ao	1709	SRR11008277	1960	5
AMRU_Ao	1709	SRR11008278	1728	1695
AMRU_CQ	1795	SRR11008269	972	2
AMRU_CQ	1795	SRR11008270	632	3
AMRU_CQ	1795	SRR11008271	2147	6
AMRU_CQ	1795	SRR11008272	335	0
AMRU_CQ	1795	SRR11008273	237	1
AMRU_CQ	1795	SRR11008274	478	1
AMRU_CQ	1795	SRR11008275	1022	3
AMRU_CQ	1795	SRR11008276	255	1
AMRU_CQ	1795	SRR11008277	1960	1795
AMRU_CQ	1795	SRR11008278	1728	4
AMRU_Sa	22	SRR11008269	972	0
AMRU_Sa	22	SRR11008270	632	0
AMRU_Sa	22	SRR11008271	2147	0
AMRU_Sa	22	SRR11008272	335	0
AMRU_Sa	22	SRR11008273	237	1
AMRU_Sa	22	SRR11008274	478	0
AMRU_Sa	22	SRR11008275	1022	0
AMRU_Sa	22	SRR11008276	255	22
AMRU_Sa	22	SRR11008277	1960	0
AMRU_Sa	22	SRR11008278	1728	0
Ches_Ao	1037	SRR11008269	972	1
Ches_Ao	1037	SRR11008270	632	1
Ches_Ao	1037	SRR11008271	2147	4
Ches_Ao	1037	SRR11008272	335	1
Ches_Ao	1037	SRR11008273	237	0
Ches_Ao	1037	SRR11008274	478	0
Ches_Ao	1037	SRR11008275	1022	999
Ches_Ao	1037	SRR11008276	255	0
Ches_Ao	1037	SRR11008277	1960	3
Ches_Ao	1037	SRR11008278	1728	1
Ches_CQ	521	SRR11008269	972	0
Ches_CQ	521	SRR11008270	632	0
Ches_CQ	521	SRR11008271	2147	0
Ches_CQ	521	SRR11008272	335	0
Ches_CQ	521	SRR11008273	237	0
Ches_CQ	521	SRR11008274	478	464
Ches_CQ	521	SRR11008275	1022	0
Ches_CQ	521	SRR11008276	255	0
Ches_CQ	521	SRR11008277	1960	1
Ches_CQ	521	SRR11008278	1728	3
Ches_Sa	249	SRR11008269	972	0
Ches_Sa	249	SRR11008270	632	0
Ches_Sa	249	SRR11008271	2147	0
Ches_Sa	249	SRR11008272	335	0
Ches_Sa	249	SRR11008273	237	228
Ches_Sa	249	SRR11008274	478	0
Ches_Sa	249	SRR11008275	1022	0
Ches_Sa	249	SRR11008276	255	132
Ches_Sa	249	SRR11008277	1960	2
Ches_Sa	249	SRR11008278	1728	0
NIH_Ao	2098	SRR11008269	972	1
NIH_Ao	2098	SRR11008270	632	1
NIH_Ao	2098	SRR11008271	2147	2058
NIH_Ao	2098	SRR11008272	335	0
NIH_Ao	2098	SRR11008273	237	0
NIH_Ao	2098	SRR11008274	478	0
NIH_Ao	2098	SRR11008275	1022	4
NIH_Ao	2098	SRR11008276	255	0
NIH_Ao	2098	SRR11008277	1960	8
NIH_Ao	2098	SRR11008278	1728	3
NIH_CQ	589	SRR11008269	972	0
NIH_CQ	589	SRR11008270	632	589
NIH_CQ	589	SRR11008271	2147	0
NIH_CQ	589	SRR11008272	335	0
NIH_CQ	589	SRR11008273	237	0
NIH_CQ	589	SRR11008274	478	0
NIH_CQ	589	SRR11008275	1022	1
NIH_CQ	589	SRR11008276	255	0
NIH_CQ	589	SRR11008277	1960	3
NIH_CQ	589	SRR11008278	1728	1
NIH_Sa	928	SRR11008269	972	919
NIH_Sa	928	SRR11008270	632	0
NIH_Sa	928	SRR11008271	2147	1
NIH_Sa	928	SRR11008272	335	1
NIH_Sa	928	SRR11008273	237	0
NIH_Sa	928	SRR11008274	478	0
NIH_Sa	928	SRR11008275	1022	1
NIH_Sa	928	SRR11008276	255	0
NIH_Sa	928	SRR11008277	1960	2
NIH_Sa	928	SRR11008278	1728	3
PB_MACS	267	SRR11008269	972	1
PB_MACS	267	SRR11008270	632	0
PB_MACS	267	SRR11008271	2147	0
PB_MACS	267	SRR11008272	335	249
PB_MACS	267	SRR11008273	237	0
PB_MACS	267	SRR11008274	478	0
PB_MACS	267	SRR11008275	1022	1
PB_MACS	267	SRR11008276	255	0
PB_MACS	267	SRR11008277	1960	0
PB_MACS	267	SRR11008278	1728	1
