study	run	path	exists	barcode_rows
Sa2020	SRR11008269	counts/32365102/SRR11008269_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	972
Sa2020	SRR11008270	counts/32365102/SRR11008270_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	632
Sa2020	SRR11008271	counts/32365102/SRR11008271_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	2147
Sa2020	SRR11008272	counts/32365102/SRR11008272_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	335
Sa2020	SRR11008273	counts/32365102/SRR11008273_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	237
Sa2020	SRR11008274	counts/32365102/SRR11008274_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	478
Sa2020	SRR11008275	counts/32365102/SRR11008275_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	1022
Sa2020	SRR11008276	counts/32365102/SRR11008276_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	255
Sa2020	SRR11008277	counts/32365102/SRR11008277_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	1960
Sa2020	SRR11008278	counts/32365102/SRR11008278_solo_out/Solo.out/GeneFull/filtered/barcodes.tsv	True	1728
Hazzard2024	SRR27021955	counts/39223117/SRR27021955_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021956	counts/39223117/SRR27021956_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021960	counts/39223117/SRR27021960_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021966	counts/39223117/SRR27021966_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021967	counts/39223117/SRR27021967_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021968	counts/39223117/SRR27021968_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021969	counts/39223117/SRR27021969_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021970	counts/39223117/SRR27021970_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021971	counts/39223117/SRR27021971_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021972	counts/39223117/SRR27021972_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021975	counts/39223117/SRR27021975_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021976	counts/39223117/SRR27021976_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021980	counts/39223117/SRR27021980_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021981	counts/39223117/SRR27021981_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021982	counts/39223117/SRR27021982_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021983	counts/39223117/SRR27021983_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021984	counts/39223117/SRR27021984_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021985	counts/39223117/SRR27021985_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021986	counts/39223117/SRR27021986_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021987	counts/39223117/SRR27021987_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021991	counts/39223117/SRR27021991_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021992	counts/39223117/SRR27021992_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021993	counts/39223117/SRR27021993_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
Hazzard2024	SRR27021994	counts/39223117/SRR27021994_solo_out/Solo.out/GeneFull/raw/barcodes.tsv	True	6794880
