group	assay	layer	features	max_difference
1	RNA	counts	5934	0
2	RNA	counts	5934	0
3	RNA	counts	5934	0
4	RNA	counts	5934	0
5	RNA	counts	5934	0
6	RNA	counts	5934	0
7	RNA	counts	5934	0
8	RNA	counts	5934	0
9	RNA	counts	5934	0
10	RNA	counts	5934	0
11	RNA	counts	5934	0
12	RNA	counts	5934	0
13	RNA	counts	5934	0
14	RNA	counts	5934	0
15	RNA	counts	5934	0
1	RNA	data	5934	0
2	RNA	data	5934	0
3	RNA	data	5934	0
4	RNA	data	5934	0
5	RNA	data	5934	0
6	RNA	data	5934	0
7	RNA	data	5934	0
8	RNA	data	5934	0
9	RNA	data	5934	0
10	RNA	data	5934	0
11	RNA	data	5934	0
12	RNA	data	5934	0
13	RNA	data	5934	0
14	RNA	data	5934	0
15	RNA	data	5934	0
1	SCT	counts	5120	0
2	SCT	counts	5120	0
3	SCT	counts	5120	0
4	SCT	counts	5120	0
5	SCT	counts	5120	0
6	SCT	counts	5120	0
7	SCT	counts	5120	0
8	SCT	counts	5120	0
9	SCT	counts	5120	0
10	SCT	counts	5120	0
11	SCT	counts	5120	0
12	SCT	counts	5120	0
13	SCT	counts	5120	0
14	SCT	counts	5120	0
15	SCT	counts	5120	0
1	SCT	data	5120	0
2	SCT	data	5120	0
3	SCT	data	5120	0
4	SCT	data	5120	0
5	SCT	data	5120	0
6	SCT	data	5120	0
7	SCT	data	5120	0
8	SCT	data	5120	0
9	SCT	data	5120	0
10	SCT	data	5120	0
11	SCT	data	5120	0
12	SCT	data	5120	0
13	SCT	data	5120	0
14	SCT	data	5120	0
15	SCT	data	5120	0
1	SCT	scale.data	2000	0
2	SCT	scale.data	2000	0
3	SCT	scale.data	2000	0
4	SCT	scale.data	2000	0
5	SCT	scale.data	2000	0
6	SCT	scale.data	2000	0
7	SCT	scale.data	2000	0
8	SCT	scale.data	2000	0
9	SCT	scale.data	2000	0
10	SCT	scale.data	2000	0
11	SCT	scale.data	2000	0
12	SCT	scale.data	2000	0
13	SCT	scale.data	2000	0
14	SCT	scale.data	2000	0
15	SCT	scale.data	2000	0
1	integrated	data	2000	0
2	integrated	data	2000	0
3	integrated	data	2000	0
4	integrated	data	2000	0
5	integrated	data	2000	0
6	integrated	data	2000	0
7	integrated	data	2000	0
8	integrated	data	2000	0
9	integrated	data	2000	0
10	integrated	data	2000	0
11	integrated	data	2000	0
12	integrated	data	2000	0
13	integrated	data	2000	0
14	integrated	data	2000	0
15	integrated	data	2000	0
1	integrated	scale.data	2000	0
2	integrated	scale.data	2000	0
3	integrated	scale.data	2000	0
4	integrated	scale.data	2000	0
5	integrated	scale.data	2000	0
6	integrated	scale.data	2000	0
7	integrated	scale.data	2000	0
8	integrated	scale.data	2000	0
9	integrated	scale.data	2000	0
10	integrated	scale.data	2000	0
11	integrated	scale.data	2000	0
12	integrated	scale.data	2000	0
13	integrated	scale.data	2000	0
14	integrated	scale.data	2000	0
15	integrated	scale.data	2000	0
