run_accession	experiment_accession	submitted_ftp	submitted_format	fastq_ftp
SRR18134227	SRX14282287			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/027/SRR18134227/SRR18134227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/027/SRR18134227/SRR18134227_2.fastq.gz
SRR18134231	SRX14282291			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/031/SRR18134231/SRR18134231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/031/SRR18134231/SRR18134231_2.fastq.gz
SRR18134235	SRX14282299			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/035/SRR18134235/SRR18134235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/035/SRR18134235/SRR18134235_2.fastq.gz
SRR18134244	SRX14282316			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/044/SRR18134244/SRR18134244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/044/SRR18134244/SRR18134244_2.fastq.gz
SRR18134245	SRX14282317			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/045/SRR18134245/SRR18134245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/045/SRR18134245/SRR18134245_2.fastq.gz
SRR18134247	SRX14282318			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/047/SRR18134247/SRR18134247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/047/SRR18134247/SRR18134247_2.fastq.gz
SRR18134250	SRX14282320			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/050/SRR18134250/SRR18134250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/050/SRR18134250/SRR18134250_2.fastq.gz
SRR18134253	SRX14282322			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/053/SRR18134253/SRR18134253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/053/SRR18134253/SRR18134253_2.fastq.gz
SRR18134256	SRX14282324			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/056/SRR18134256/SRR18134256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/056/SRR18134256/SRR18134256_2.fastq.gz
SRR18134258	SRX14282325			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/058/SRR18134258/SRR18134258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/058/SRR18134258/SRR18134258_2.fastq.gz
SRR18134271	SRX14282310			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/071/SRR18134271/SRR18134271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/071/SRR18134271/SRR18134271_2.fastq.gz
SRR18134274	SRX14282312			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/074/SRR18134274/SRR18134274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/074/SRR18134274/SRR18134274_2.fastq.gz
SRR18134280	SRX14282296			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/080/SRR18134280/SRR18134280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/080/SRR18134280/SRR18134280_2.fastq.gz
SRR18134281	SRX14282297			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/081/SRR18134281/SRR18134281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/081/SRR18134281/SRR18134281_2.fastq.gz
SRR18134283	SRX14282298			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/083/SRR18134283/SRR18134283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/083/SRR18134283/SRR18134283_2.fastq.gz
SRR18134228	SRX14282288			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/028/SRR18134228/SRR18134228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/028/SRR18134228/SRR18134228_2.fastq.gz
SRR18134230	SRX14282290			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/030/SRR18134230/SRR18134230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/030/SRR18134230/SRR18134230_2.fastq.gz
SRR18134232	SRX14282292			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/032/SRR18134232/SRR18134232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/032/SRR18134232/SRR18134232_2.fastq.gz
SRR18134242	SRX14282306			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/042/SRR18134242/SRR18134242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/042/SRR18134242/SRR18134242_2.fastq.gz
SRR18134255	SRX14282323			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/055/SRR18134255/SRR18134255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/055/SRR18134255/SRR18134255_2.fastq.gz
SRR18134257	SRX14282325			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/057/SRR18134257/SRR18134257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/057/SRR18134257/SRR18134257_2.fastq.gz
SRR18134264	SRX14282329			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/064/SRR18134264/SRR18134264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/064/SRR18134264/SRR18134264_2.fastq.gz
SRR18134269	SRX14282309			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/069/SRR18134269/SRR18134269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/069/SRR18134269/SRR18134269_2.fastq.gz
SRR18134270	SRX14282309			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/070/SRR18134270/SRR18134270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/070/SRR18134270/SRR18134270_2.fastq.gz
SRR18134272	SRX14282310			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/072/SRR18134272/SRR18134272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/072/SRR18134272/SRR18134272_2.fastq.gz
SRR18134278	SRX14282314			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/078/SRR18134278/SRR18134278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/078/SRR18134278/SRR18134278_2.fastq.gz
SRR18134229	SRX14282289			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/029/SRR18134229/SRR18134229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/029/SRR18134229/SRR18134229_2.fastq.gz
SRR18134239	SRX14282303			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/039/SRR18134239/SRR18134239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/039/SRR18134239/SRR18134239_2.fastq.gz
SRR18134241	SRX14282305			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/041/SRR18134241/SRR18134241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/041/SRR18134241/SRR18134241_2.fastq.gz
SRR18134246	SRX14282317			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/046/SRR18134246/SRR18134246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/046/SRR18134246/SRR18134246_2.fastq.gz
SRR18134248	SRX14282318			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/048/SRR18134248/SRR18134248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/048/SRR18134248/SRR18134248_2.fastq.gz
SRR18134249	SRX14282319			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/049/SRR18134249/SRR18134249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/049/SRR18134249/SRR18134249_2.fastq.gz
SRR18134254	SRX14282322			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/054/SRR18134254/SRR18134254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/054/SRR18134254/SRR18134254_2.fastq.gz
SRR18134261	SRX14282327			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/061/SRR18134261/SRR18134261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/061/SRR18134261/SRR18134261_2.fastq.gz
SRR18134263	SRX14282329			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/063/SRR18134263/SRR18134263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/063/SRR18134263/SRR18134263_2.fastq.gz
SRR18134266	SRX14282330			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/066/SRR18134266/SRR18134266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/066/SRR18134266/SRR18134266_2.fastq.gz
SRR18134267	SRX14282307			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/067/SRR18134267/SRR18134267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/067/SRR18134267/SRR18134267_2.fastq.gz
SRR18134268	SRX14282308			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/068/SRR18134268/SRR18134268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/068/SRR18134268/SRR18134268_2.fastq.gz
SRR18134276	SRX14282313			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/076/SRR18134276/SRR18134276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/076/SRR18134276/SRR18134276_2.fastq.gz
SRR18134282	SRX14282297			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/082/SRR18134282/SRR18134282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/082/SRR18134282/SRR18134282_2.fastq.gz
SRR18134284	SRX14282298			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/084/SRR18134284/SRR18134284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/084/SRR18134284/SRR18134284_2.fastq.gz
SRR18134233	SRX14282293			ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/033/SRR18134233/SRR18134233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/033/SRR18134233/SRR18134233_2.fastq.gz
