run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	experiment_title	sample_title	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count
SRR18134233	SRX14282293	SAMN26235196	SRS12100351	PRJNA810174	SRP361380	GSM5916710	GSM5916710	NextSeq 500 sequencing: GSM5916710: Infection1_D11_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D11_Inf_50	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	37096717	2596770190
SRR18134234	SRX14282294	SAMN26235197	SRS12100352	PRJNA810174	SRP361380	GSM5916711	GSM5916711	NextSeq 500 sequencing: GSM5916711: Infection1_D11_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D11_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	26127150	1828900500
SRR18134238	SRX14282302	SAMN26235201	SRS12100360	PRJNA810174	SRP361380	GSM5916715	GSM5916715	NextSeq 500 sequencing: GSM5916715: Infection1_D8p_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D8p_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	27923929	1954675030
SRR18134240	SRX14282304	SAMN26235203	SRS12100362	PRJNA810174	SRP361380	GSM5916717	GSM5916717	NextSeq 500 sequencing: GSM5916717: Infection1_D11p_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D11p_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	25524561	1786719270
SRR18134251	SRX14282321	SAMN26235212	SRS12100379	PRJNA810174	SRP361380	GSM5916726	GSM5916726	Illumina NovaSeq 6000 sequencing: GSM5916726: Infection2_D4_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D4_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	548655380	38405876600
SRR18134252	SRX14282321	SAMN26235212	SRS12100379	PRJNA810174	SRP361380	GSM5916726	GSM5916726	Illumina NovaSeq 6000 sequencing: GSM5916726: Infection2_D4_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D4_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	22799412	1595958840
SRR18134260	SRX14282326	SAMN26235173	SRS12100384	PRJNA810174	SRP361380	GSM5916731	GSM5916731	Illumina NovaSeq 6000 sequencing: GSM5916731: Infection2_D5_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D5_SEQ2	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	31629976	2214098320
SRR18134275	SRX14282313	SAMN26235184	SRS12100371	PRJNA810174	SRP361380	GSM5916742	GSM5916742	Illumina NovaSeq 6000 sequencing: GSM5916742: Infection2_D8p_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8p_SEQ1	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	460201321	32214092470
SRR18134279	SRX14282295	SAMN26235186	SRS12100353	PRJNA810174	SRP361380	GSM5916744	GSM5916744	Illumina NovaSeq 6000 sequencing: GSM5916744: Infection2_D11p_Uninfected Homo sapiens Mus musculus RNA-Seq	Infection2_D11p_Uninfected	ILLUMINA	Illumina NovaSeq 6000		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	681781040	47724672800
SRR18134236	SRX14282300	SAMN26235199	SRS12100358	PRJNA810174	SRP361380	GSM5916713	GSM5916713	NextSeq 500 sequencing: GSM5916713: Infection1_D14_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D14_Inf_100	ILLUMINA	NextSeq 500		PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	24538378	1717686460
