geo_accession	title	day	infection	treatment	instrument
GSM5916704	Infection1_D1_Inf_50	day 1	infection with 50K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916705	Infection1_D1_Inf_100	day 1	infection with 100K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916706	Infection1_D5_Inf_50	day 5	infection with 50K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916707	Infection1_D5_Inf_100	day 5	infection with 100K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916708	Infection1_D8_Inf_50	day 8	infection with 50K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916709	Infection1_D8_Inf_100	day 8	infection with 100K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916710	Infection1_D11_Inf_50	day 11	infection with 50K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916711	Infection1_D11_Inf_100	day 11	infection with 100K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916712	Infection1_D14_Inf_50	day 14	infection with 50K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916713	Infection1_D14_Inf_100	day 14	infection with 100K P. vivax sporozoites	non-treated	NextSeq 500
GSM5916714	Infection1_D8p_Inf_50	day 8	infection with 50K P. vivax sporozoites	Pi4K-treated	NextSeq 500
GSM5916715	Infection1_D8p_Inf_100	day 8	infection with 100K P. vivax sporozoites	Pi4K-treated	NextSeq 500
GSM5916716	Infection1_D11p_Inf_50	day 11	infection with 50K P. vivax sporozoites	Pi4K-treated	NextSeq 500
GSM5916717	Infection1_D11p_Inf_100	day 11	infection with 100K P. vivax sporozoites	Pi4K-treated	NextSeq 500
GSM5916718	Infection1_D14p_Inf_50	day 14	infection with 50K P. vivax sporozoites	Pi4K-treated	NextSeq 500
GSM5916719	Infection1_D14p_Inf_100	day 14	infection with 100K P. vivax sporozoites	Pi4K-treated	NextSeq 500
GSM5916720	Infection2_D1_Uninfected	day 1	non-infected	non-treated	Illumina NovaSeq 6000
GSM5916721	Infection2_D1_Mock	day 1	mock-infected	non-treated	Illumina NovaSeq 6000
GSM5916722	Infection2_D1_SEQ1	day 1	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916723	Infection2_D1_SEQ2	day 1	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916724	Infection2_D4_Uninfected	day 4	non-infected	non-treated	Illumina NovaSeq 6000
GSM5916725	Infection2_D4_Mock	day 4	mock-infected	non-treated	Illumina NovaSeq 6000
GSM5916726	Infection2_D4_SEQ1	day 4	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916727	Infection2_D4_SEQ2	day 4	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916728	Infection2_D5_Uninfected	day 5	non-infected	non-treated	Illumina NovaSeq 6000
GSM5916729	Infection2_D5_Mock	day 5	mock-infected	non-treated	Illumina NovaSeq 6000
GSM5916730	Infection2_D5_SEQ1	day 5	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916731	Infection2_D5_SEQ2	day 5	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916732	Infection2_D8_Uninfected	day 8	non-infected	non-treated	Illumina NovaSeq 6000
GSM5916733	Infection2_D8_Mock	day 8	mock-infected	non-treated	Illumina NovaSeq 6000
GSM5916734	Infection2_D8_SEQ1	day 8	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916735	Infection2_D8_SEQ2	day 8	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916736	Infection2_D11_Uninfected	day 11	non-infected	non-treated	Illumina NovaSeq 6000
GSM5916737	Infection2_D11_Mock	day 11	mock-infected	non-treated	Illumina NovaSeq 6000
GSM5916738	Infection2_D11_SEQ1	day 11	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916739	Infection2_D11_SEQ2	day 11	infection with 100K P. vivax sporozoites	non-treated	Illumina NovaSeq 6000
GSM5916740	Infection2_D8p_Uninfected	day 8	non-infected	Pi4K-treated	Illumina NovaSeq 6000
GSM5916741	Infection2_D8p_Mock	day 8	mock-infected	Pi4K-treated	Illumina NovaSeq 6000
GSM5916742	Infection2_D8p_SEQ1	day 8	infection with 100K P. vivax sporozoites	Pi4K-treated	Illumina NovaSeq 6000
GSM5916743	Infection2_D8p_SEQ2	day 8	infection with 100K P. vivax sporozoites	Pi4K-treated	Illumina NovaSeq 6000
GSM5916744	Infection2_D11p_Uninfected	day 11	non-infected	Pi4K-treated	Illumina NovaSeq 6000
GSM5916745	Infection2_D11p_Mock	day 11	mock-infected	Pi4K-treated	Illumina NovaSeq 6000
GSM5916746	Infection2_D11p_SEQ1	day 11	infection with 100K P. vivax sporozoites	Pi4K-treated	Illumina NovaSeq 6000
GSM5916747	Infection2_D11p_SEQ2	day 11	infection with 100K P. vivax sporozoites	Pi4K-treated	Illumina NovaSeq 6000
