run_id	sample_type	host_species	parasite_stage	life_cycle_stage	hour_post_invasion	pred_gametocyte	Freq
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Ring	12	Asexual 1	23
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	12	Asexual 1	54
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	12	Asexual 1	33
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	24	Asexual 1	43
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	24	Asexual 1	34
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Trophozoite	24	Asexual 1	6
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	32	Asexual 1	48
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	32	Asexual 1	36
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	36	Asexual 1	1
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	36	Asexual 1	518
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	36	Asexual 1	535
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	42	Asexual 1	336
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	42	Asexual 1	330
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	48	Asexual 1	317
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	48	Asexual 1	380
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Ring	6	Asexual 1	5
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	6	Asexual 1	81
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	6	Asexual 1	59
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Ring	12	Asexual 2	3
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Trophozoite	24	Asexual 2	40
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Trophozoite	24	Asexual 2	1
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	32	Asexual 2	47
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	36	Asexual 2	197
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	36	Asexual 2	17
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	42	Asexual 2	19
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	42	Asexual 2	2
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	36	Asexual 3	1
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	42	Asexual 3	12
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	42	Asexual 3	3
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Merozoite	48	Asexual 3	10
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Trophozoite	24	Asexual 4	1
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Schizont (Blood stage)	36	Asexual 4	1
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	12	Asexual 7	26
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	12	Asexual 7	15
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	24	Asexual 7	3
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	24	Asexual 7	1
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	32	Asexual 7	2
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	36	Asexual 7	1
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	48	Asexual 7	1
SRR20710498	Vector salivary gland	Anopheles freeborni	Blood stage	Sporozoite	6	Asexual 7	3
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	6	Asexual 7	1
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	24	Female gametocyte	4
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	24	Female gametocyte	2
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	32	Female gametocyte	2
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	32	Female gametocyte	1
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	36	Female gametocyte	12
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	36	Female gametocyte	11
SRR20710499	Vector salivary gland	Anopheles stephensi	Blood stage	Sporozoite	36	Female gametocyte	1
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	42	Female gametocyte	4
SRR20710501	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	42	Female gametocyte	1
SRR20710500	Host blood	Saimiri boliviensis	Blood stage	Female gametocyte	48	Female gametocyte	10
