run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	experiment_title	sample_title	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count
SRR18134233	SRX14282293	SAMN26235196	SRS12100351	PRJNA810174	SRP361380	GSM5916710	GSM5916710	NextSeq 500 sequencing: GSM5916710: Infection1_D11_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D11_Inf_50	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	37096717	2596770190
SRR18134234	SRX14282294	SAMN26235197	SRS12100352	PRJNA810174	SRP361380	GSM5916711	GSM5916711	NextSeq 500 sequencing: GSM5916711: Infection1_D11_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D11_Inf_100	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	26127150	1828900500
SRR18134251	SRX14282321	SAMN26235212	SRS12100379	PRJNA810174	SRP361380	GSM5916726	GSM5916726	Illumina NovaSeq 6000 sequencing: GSM5916726: Infection2_D4_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D4_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	548655380	38405876600
SRR18134252	SRX14282321	SAMN26235212	SRS12100379	PRJNA810174	SRP361380	GSM5916726	GSM5916726	Illumina NovaSeq 6000 sequencing: GSM5916726: Infection2_D4_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D4_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	22799412	1595958840
SRR18134260	SRX14282326	SAMN26235173	SRS12100384	PRJNA810174	SRP361380	GSM5916731	GSM5916731	Illumina NovaSeq 6000 sequencing: GSM5916731: Infection2_D5_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D5_SEQ2	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	31629976	2214098320
SRR18134275	SRX14282313	SAMN26235184	SRS12100371	PRJNA810174	SRP361380	GSM5916742	GSM5916742	Illumina NovaSeq 6000 sequencing: GSM5916742: Infection2_D8p_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8p_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	460201321	32214092470
SRR18134236	SRX14282300	SAMN26235199	SRS12100358	PRJNA810174	SRP361380	GSM5916713	GSM5916713	NextSeq 500 sequencing: GSM5916713: Infection1_D14_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D14_Inf_100	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	24538378	1717686460
SRR18134259	SRX14282326	SAMN26235173	SRS12100384	PRJNA810174	SRP361380	GSM5916731	GSM5916731	Illumina NovaSeq 6000 sequencing: GSM5916731: Infection2_D5_SEQ2 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D5_SEQ2	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	540579800	37840586000
SRR18134228	SRX14282288	SAMN26235191	SRS12100346	PRJNA810174	SRP361380	GSM5916705	GSM5916705	NextSeq 500 sequencing: GSM5916705: Infection1_D1_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D1_Inf_100	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	19657659	1376036130
SRR18134230	SRX14282290	SAMN26235193	SRS12100348	PRJNA810174	SRP361380	GSM5916707	GSM5916707	NextSeq 500 sequencing: GSM5916707: Infection1_D5_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D5_Inf_100	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	23853287	1669730090
SRR18134242	SRX14282306	SAMN26235205	SRS12100364	PRJNA810174	SRP361380	GSM5916719	GSM5916719	NextSeq 500 sequencing: GSM5916719: Infection1_D14p_Inf_100 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D14p_Inf_100	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	26822607	1877582490
SRR18134257	SRX14282325	SAMN26235172	SRS12100383	PRJNA810174	SRP361380	GSM5916730	GSM5916730	Illumina NovaSeq 6000 sequencing: GSM5916730: Infection2_D5_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D5_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	428370466	29985932620
SRR18134264	SRX14282329	SAMN26235176	SRS12100387	PRJNA810174	SRP361380	GSM5916734	GSM5916734	Illumina NovaSeq 6000 sequencing: GSM5916734: Infection2_D8_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D8_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	23638797	1654715790
SRR18134269	SRX14282309	SAMN26235180	SRS12100367	PRJNA810174	SRP361380	GSM5916738	GSM5916738	Illumina NovaSeq 6000 sequencing: GSM5916738: Infection2_D11_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	737246357	51607244990
SRR18134270	SRX14282309	SAMN26235180	SRS12100367	PRJNA810174	SRP361380	GSM5916738	GSM5916738	Illumina NovaSeq 6000 sequencing: GSM5916738: Infection2_D11_SEQ1 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection2_D11_SEQ1	ILLUMINA	Illumina NovaSeq 6000	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	34583746	2420862220
SRR18134229	SRX14282289	SAMN26235192	SRS12100347	PRJNA810174	SRP361380	GSM5916706	GSM5916706	NextSeq 500 sequencing: GSM5916706: Infection1_D5_Inf_50 Plasmodium vivax Homo sapiens Mus musculus RNA-Seq	Infection1_D5_Inf_50	ILLUMINA	NextSeq 500	NA	PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	24020172	1681412040
