author_prefix	run_id	strain	host_species	host_id	dpi	treatment	publication_parasites	figure1_cells	starsolo_cells	barcode_overlap	author_missing_from_plavisca	plavisca_outside_author_main
NIH_Sa	SRR11008269	NIH-1993	Saimiri boliviensis	3879	15	untreated	928	928	972	919	9	53
NIH_CQ	SRR11008270	Indonesia-I/CDC	Aotus nancymaae	86574	16	CQ 16h 5 mg/kg	589	589	632	589	0	43
NIH_Ao	SRR11008271	Indonesia-I/CDC	Aotus nancymaae	86574	12	untreated	2098	2098	2147	2058	40	89
PB_MACS	SRR11008272	NIH-1993	Saimiri boliviensis	5541	21	untreated	267	267	335	249	18	86
Ches_Sa	SRR11008273	Chesson	Saimiri boliviensis	4215	24	untreated	249	249	237	228	21	9
Ches_CQ	SRR11008274	Chesson	Aotus nancymaae	86436	16	CQ 16h 10 mg/kg	521	521	478	464	57	14
Ches_Ao	SRR11008275	Chesson	Aotus nancymaae	86436	12	untreated	1037	1037	1022	999	38	23
AMRU_Sa	SRR11008276	AMRU-I	Saimiri boliviensis	5107	24	untreated	22	22	255	22	0	233
AMRU_CQ	SRR11008277	AMRU-I	Aotus nancymaae	86416	16	CQ 16h 10 mg/kg	1795	1795	1960	1795	0	165
AMRU_Ao	SRR11008278	AMRU-I	Aotus nancymaae	86416	12	untreated	1709	1709	1728	1695	14	33
