run_id	numeric_prefix	starsolo_cells	starsolo_features	retained_object_features	exact_id_order	source_object_cells	missing_from_source_object	extra_in_source_object	unequal_count_entries	source_umi	retained_feature_umi	object_umi
SRR11008269	269	972	6861	5644	TRUE	972	0	0	0	476840	476367	476367
SRR11008270	270	632	6861	5644	TRUE	632	0	0	0	446922	446658	446658
SRR11008271	271	2147	6861	5644	TRUE	2147	0	0	0	1391973	1391272	1391272
SRR11008272	272	335	6861	5644	TRUE	335	0	0	0	515411	515195	515195
SRR11008273	273	237	6861	5644	TRUE	237	0	0	0	223723	223453	223453
SRR11008274	274	478	6861	5644	TRUE	478	0	0	0	524322	524059	524059
SRR11008275	275	1022	6861	5644	TRUE	1022	0	0	0	941371	940420	940420
SRR11008276	276	255	6861	5644	TRUE	255	0	0	0	39156	39115	39115
SRR11008277	277	1960	6861	5644	TRUE	1960	0	0	0	1288510	1287843	1287843
SRR11008278	278	1728	6861	5644	TRUE	1728	0	0	0	1417142	1416525	1416525
