run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	sample_alias	experiment_alias	instrument_model	library_strategy	library_source	library_selection	scientific_name
SRR11008275	SRX7668690	SAMN13927935	PRJNA603327	SRP246992	Chesson_Ao 10X single-cell RNAseq	Chesson_Ao 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008271	SRX7668693	SAMN13927936	PRJNA603327	SRP246992	Indonesia-I_Ao 10X single-cell RNAseq	Indonesia-I_Ao 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008276	SRX7668689	SAMN13927942	PRJNA603327	SRP246992	AMRU-I_Sa 10X single-cell RNAseq	AMRU-I_Sa 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008277	SRX7668688	SAMN13927940	PRJNA603327	SRP246992	AMRU-I_Ao_CQ 10X single-cell RNAseq	AMRU-I_Ao_CQ 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008272	SRX7668695	SAMN13927943	PRJNA603327	SRP246992	NIH-1993_2_Sa 10X single-cell RNAseq	NIH-1993_2_Sa 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008269	SRX7668696	SAMN13927944	PRJNA603327	SRP246992	NIH-1993_Sa 10X single-cell RNAseq	NIH-1993_Sa 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008274	SRX7668691	SAMN13927939	PRJNA603327	SRP246992	Chesson_Ao_CQ 10X single-cell RNAseq	Chesson_Ao_CQ 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008278	SRX7668687	SAMN13927937	PRJNA603327	SRP246992	AMRU-I_Ao 10X single-cell RNAseq	AMRU-I_Ao 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008270	SRX7668694	SAMN13927938	PRJNA603327	SRP246992	Indonesia-I_Ao_CQ 10X single-cell RNAseq	Indonesia-I_Ao_CQ 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
SRR11008273	SRX7668692	SAMN13927941	PRJNA603327	SRP246992	Chesson_Sa 10X single-cell RNAseq	Chesson_Sa 10X single-cell RNAseq	Illumina HiSeq 4000	RNA-Seq	TRANSCRIPTOMIC SINGLE CELL	Oligo-dT	Plasmodium vivax
