source_feature_id	seurat_feature_id	total_umi	annotated_rrna_removed	retained_in_source_object
PVP01_0009650	PVP01-0009650	0	FALSE	FALSE
PVP01_0009660	PVP01-0009660	0	FALSE	FALSE
PVP01_0009670	PVP01-0009670	0	FALSE	FALSE
PVP01_0004210	PVP01-0004210	3886	FALSE	TRUE
PVP01_0004220	PVP01-0004220	8349	FALSE	TRUE
PVP01_0004230	PVP01-0004230	372	FALSE	TRUE
PVP01_0004240	PVP01-0004240	267	FALSE	TRUE
PVP01_0004250	PVP01-0004250	147	FALSE	TRUE
PVP01_0004260	PVP01-0004260	299	FALSE	TRUE
PVP01_0004270	PVP01-0004270	49	FALSE	TRUE
PVP01_0004275	PVP01-0004275	346	FALSE	TRUE
PVP01_0004280	PVP01-0004280	24903	FALSE	TRUE
PVP01_0004290	PVP01-0004290	258	FALSE	TRUE
PVP01_0004300	PVP01-0004300	212	FALSE	TRUE
PVP01_0004310	PVP01-0004310	4	FALSE	TRUE
PVP01_0004320	PVP01-0004320	24	FALSE	TRUE
PVP01_0004330	PVP01-0004330	6	FALSE	TRUE
PVP01_0004340	PVP01-0004340	2	FALSE	TRUE
PVP01_0004350	PVP01-0004350	36	FALSE	TRUE
PVP01_0004360	PVP01-0004360	12	FALSE	TRUE
PVP01_0004370	PVP01-0004370	1	FALSE	TRUE
PVP01_0004380	PVP01-0004380	34	FALSE	TRUE
PVP01_0004390	PVP01-0004390	194	FALSE	TRUE
PVP01_0004400	PVP01-0004400	31	FALSE	TRUE
PVP01_0004410	PVP01-0004410	71	FALSE	TRUE
PVP01_0009570	PVP01-0009570	0	FALSE	FALSE
PVP01_0009580	PVP01-0009580	0	FALSE	FALSE
PVP01_0009590	PVP01-0009590	0	FALSE	FALSE
PVP01_0009600	PVP01-0009600	0	FALSE	FALSE
PVP01_0009610	PVP01-0009610	0	FALSE	FALSE
PVP01_0009120	PVP01-0009120	0	FALSE	FALSE
PVP01_0009130	PVP01-0009130	1	FALSE	TRUE
PVP01_0009140	PVP01-0009140	1	FALSE	TRUE
PVP01_0009150	PVP01-0009150	0	FALSE	FALSE
PVP01_0009160	PVP01-0009160	0	FALSE	FALSE
PVP01_0009170	PVP01-0009170	0	FALSE	FALSE
PVP01_0009180	PVP01-0009180	31	FALSE	TRUE
PVP01_0009190	PVP01-0009190	0	FALSE	FALSE
PVP01_0009200	PVP01-0009200	4	FALSE	TRUE
PVP01_0009210	PVP01-0009210	24	FALSE	TRUE
PVP01_0009220	PVP01-0009220	1	FALSE	TRUE
PVP01_0011000	PVP01-0011000	0	FALSE	FALSE
PVP01_0007610	PVP01-0007610	0	FALSE	FALSE
PVP01_0007620	PVP01-0007620	0	FALSE	FALSE
PVP01_0007630	PVP01-0007630	2	FALSE	TRUE
PVP01_0007640	PVP01-0007640	1	FALSE	TRUE
PVP01_0007650	PVP01-0007650	1	FALSE	TRUE
PVP01_0007660	PVP01-0007660	0	FALSE	FALSE
PVP01_0007670	PVP01-0007670	0	FALSE	FALSE
PVP01_0007680	PVP01-0007680	2	FALSE	TRUE
PVP01_0007690	PVP01-0007690	23	FALSE	TRUE
PVP01_0010740	PVP01-0010740	0	FALSE	FALSE
PVP01_0010810	PVP01-0010810	0	FALSE	FALSE
PVP01_0005920	PVP01-0005920	0	FALSE	FALSE
PVP01_0005930	PVP01-0005930	0	FALSE	FALSE
PVP01_0005940	PVP01-0005940	0	FALSE	FALSE
PVP01_0005950	PVP01-0005950	0	FALSE	FALSE
PVP01_0005960	PVP01-0005960	0	FALSE	FALSE
PVP01_0005970	PVP01-0005970	0	FALSE	FALSE
PVP01_0005980	PVP01-0005980	0	FALSE	FALSE
PVP01_0005990	PVP01-0005990	0	FALSE	FALSE
PVP01_0006000	PVP01-0006000	0	FALSE	FALSE
PVP01_0006010	PVP01-0006010	1	FALSE	TRUE
PVP01_0006020	PVP01-0006020	0	FALSE	FALSE
PVP01_0006030	PVP01-0006030	1	FALSE	TRUE
PVP01_0006040	PVP01-0006040	0	FALSE	FALSE
PVP01_0006050	PVP01-0006050	0	FALSE	FALSE
PVP01_0006060	PVP01-0006060	0	FALSE	FALSE
PVP01_0006070	PVP01-0006070	0	FALSE	FALSE
PVP01_0006080	PVP01-0006080	0	FALSE	FALSE
PVP01_0006090	PVP01-0006090	0	FALSE	FALSE
PVP01_0006100	PVP01-0006100	0	FALSE	FALSE
PVP01_0006110	PVP01-0006110	0	FALSE	FALSE
PVP01_0011160	PVP01-0011160	10	FALSE	TRUE
PVP01_0010920	PVP01-0010920	0	FALSE	FALSE
PVP01_0010690	PVP01-0010690	0	FALSE	FALSE
PVP01_0010880	PVP01-0010880	0	FALSE	FALSE
PVP01_0010840	PVP01-0010840	4	FALSE	TRUE
