measure	value
workbook_rows	9158
workbook_unique_ids	9158
workbook_ids_in_main_list	9158
main_list_ids_absent_from_workbook	57
workbook_ids_outside_main_list	0
author_asexual_rows	7587
author_female_rows	1477
author_male_rows	94
recycled_filter_retained	789
recycled_filter_female	749
recycled_filter_male	40
correct_filter_retained	1571
correct_bridge_sex_matches	1532
correct_bridge_sex_absent	39
correct_bridge_recycled_matches	773
correct_bridge_omitted_by_recycling_among_present	759
production_code_matches	355
correct_bridge_matches_labeled_same_in_final	1344
correct_bridge_matches_labeled_differently_in_final	188
