measure	value
starsolo_total	9766
source_object_cells	9766
source_object_unique_ids	9766
final_cells	9766
final_unique_ids	9766
source_missing_from_final	0
final_extra_vs_source	0
publication_main_cells	9215
publication_main_unique_ids	9215
publication_main_present	9018
publication_main_missing	197
plavisca_outside_publication_main	748
lower_threshold_supplement_cells	13502
lower_threshold_supplement_unique_ids	13502
lower_threshold_supplement_present	9432
plavisca_outside_lower_threshold_supplement	334
main_ids_absent_from_lower_threshold_supplement	0
duplicate_expression_pairs	0
barcode_tokens_reused_across_runs	183
maximum_run_multiplicity_per_barcode	3
input_features	6861
retained_features	5644
rrna_features_removed	50
zero_count_features_removed	1167
