author_prefix	source_label	final_stage	Freq
AMRU_Ao	Female gametocyte	Female gametocyte	289
AMRU_CQ	Female gametocyte	Female gametocyte	50
AMRU_Sa	Female gametocyte	Female gametocyte	1
Ches_Ao	Female gametocyte	Female gametocyte	98
Ches_CQ	Female gametocyte	Female gametocyte	215
Ches_Sa	Female gametocyte	Female gametocyte	15
NIH_Ao	Female gametocyte	Female gametocyte	228
NIH_CQ	Female gametocyte	Female gametocyte	73
NIH_Sa	Female gametocyte	Female gametocyte	330
PB_MACS	Female gametocyte	Female gametocyte	34
Ches_CQ	Male gametocyte	Female gametocyte	2
NIH_Ao	Male gametocyte	Female gametocyte	2
NIH_Sa	Male gametocyte	Female gametocyte	1
AMRU_Ao	Male gametocyte	Male gametocyte	4
AMRU_CQ	Male gametocyte	Male gametocyte	1
Ches_Ao	Male gametocyte	Male gametocyte	2
Ches_CQ	Male gametocyte	Male gametocyte	4
NIH_Ao	Female gametocyte	Merozoite	2
NIH_Sa	Female gametocyte	Merozoite	1
AMRU_Ao	Male gametocyte	Merozoite	2
Ches_Ao	Male gametocyte	Merozoite	2
Ches_CQ	Male gametocyte	Merozoite	1
NIH_Ao	Male gametocyte	Merozoite	15
NIH_Ao	Female gametocyte	Ring	1
NIH_CQ	Female gametocyte	Ring	3
NIH_Sa	Female gametocyte	Ring	4
Ches_Ao	Male gametocyte	Ring	1
Ches_CQ	Male gametocyte	Ring	1
NIH_Ao	Male gametocyte	Ring	2
AMRU_Ao	Female gametocyte	Schizont (Blood stage)	3
AMRU_CQ	Female gametocyte	Schizont (Blood stage)	2
Ches_Ao	Female gametocyte	Schizont (Blood stage)	5
Ches_CQ	Female gametocyte	Schizont (Blood stage)	3
NIH_Ao	Female gametocyte	Schizont (Blood stage)	5
NIH_CQ	Female gametocyte	Schizont (Blood stage)	9
NIH_Sa	Female gametocyte	Schizont (Blood stage)	50
PB_MACS	Female gametocyte	Schizont (Blood stage)	1
AMRU_Ao	Male gametocyte	Schizont (Blood stage)	5
AMRU_CQ	Male gametocyte	Schizont (Blood stage)	4
Ches_Ao	Male gametocyte	Schizont (Blood stage)	7
Ches_CQ	Male gametocyte	Schizont (Blood stage)	1
NIH_Ao	Male gametocyte	Schizont (Blood stage)	19
NIH_Sa	Male gametocyte	Schizont (Blood stage)	8
AMRU_Ao	Female gametocyte	Trophozoite	2
Ches_Sa	Female gametocyte	Trophozoite	1
NIH_CQ	Female gametocyte	Trophozoite	4
NIH_Sa	Female gametocyte	Trophozoite	12
Ches_CQ	Male gametocyte	Trophozoite	1
NIH_Ao	Male gametocyte	Trophozoite	6
