orig.ident	Sample	Day	Treatment	geo_accession	geo_title	registered_instrument	cells	run_accessions	experiment_accession
CAPD1r100	Infection1	d1	CTRL	GSM5916705	Infection1_D1_Inf_100	NextSeq 500	207	SRR18134228	SRX14282288
CAPD5r100	Infection1	d5	CTRL	GSM5916707	Infection1_D5_Inf_100	NextSeq 500	127	SRR18134230	SRX14282290
CAPD5r50	Infection1	d5	CTRL	GSM5916706	Infection1_D5_Inf_50	NextSeq 500	177	SRR18134229	SRX14282289
CAPD11r100	Infection1	d11	CTRL	GSM5916711	Infection1_D11_Inf_100	NextSeq 500	313	SRR18134234	SRX14282294
CAPD11r50	Infection1	d11	CTRL	GSM5916710	Infection1_D11_Inf_50	NextSeq 500	213	SRR18134233	SRX14282293
CAPD14pr100	Infection1	d14	PI4K	GSM5916719	Infection1_D14p_Inf_100	NextSeq 500	71	SRR18134242	SRX14282306
CAPD14r100	Infection1	d14	CTRL	GSM5916713	Infection1_D14_Inf_100	NextSeq 500	162	SRR18134236	SRX14282300
SEQ4r1	Infection2	d4	CTRL	GSM5916726	Infection2_D4_SEQ1	Illumina NovaSeq 6000	63	SRR18134251;SRR18134252	SRX14282321
SEQ4r2	Infection2	d4	CTRL	GSM5916727	Infection2_D4_SEQ2	Illumina NovaSeq 6000	17	SRR18134253;SRR18134254	SRX14282322
SEQ5r1	Infection2	d5	CTRL	GSM5916730	Infection2_D5_SEQ1	Illumina NovaSeq 6000	1	SRR18134257;SRR18134258	SRX14282325
SEQ5r2	Infection2	d5	CTRL	GSM5916731	Infection2_D5_SEQ2	Illumina NovaSeq 6000	1	SRR18134259;SRR18134260	SRX14282326
SEQ8pr1	Infection2	d8	PI4K	GSM5916742	Infection2_D8p_SEQ1	Illumina NovaSeq 6000	28	SRR18134275;SRR18134276	SRX14282313
SEQ8r1	Infection2	d8	CTRL	GSM5916734	Infection2_D8_SEQ1	Illumina NovaSeq 6000	37	SRR18134263;SRR18134264	SRX14282329
SEQ11p2	Infection2	d11	PI4K	GSM5916747	Infection2_D11p_SEQ2	Illumina NovaSeq 6000	54	SRR18134283;SRR18134284	SRX14282298
SEQ11r1	Infection2	d11	CTRL	GSM5916738	Infection2_D11_SEQ1	Illumina NovaSeq 6000	23	SRR18134269;SRR18134270	SRX14282309
