metric	deployed	candidate	classification	note
total_cells	105963	105963	EXPECTED RECOMPUTATION	Candidate total matches the Phase 2 target (105963); deployed count reflects the pre-repair build
cells_Hazzard2022	3294	3294	EXPECTED RECOMPUTATION (membership unchanged)	
cells_Hazzard2024	80024	80024	EXPECTED RECOMPUTATION (membership unchanged)	
cells_Mancio_silva2022	1494	NA	EXPECTED REPAIR/RECOMPUTATION	
cells_Ruberto2022_1	1438	1438	EXPECTED RECOMPUTATION (membership unchanged)	
cells_Ruberto2022_2	9947	9947	EXPECTED RECOMPUTATION (membership unchanged)	
cells_Sa2020	9766	9766	EXPECTED RECOMPUTATION (membership unchanged)	
cells_Mancio-Silva2022	NA	1494	EXPECTED REPAIR/RECOMPUTATION	
metadata_field_count	52	88	EXPECTED REPAIR	Schema expanded/renamed per Phase 1/2 repairs (hour_post_invasion->idc_reference_similarity_label, added provenance fields, etc.)
ruberto2022_1_near_empty_cells	538	0	EXPECTED REPAIR	D036 artifact resolved by author-matrix adoption (Phase 2 Part I) - the whole reason for this rebuild
cells_with_idc_hpi_label	105963	90219	EXPECTED REPAIR	Deployed HPI was assigned to ALL cells including liver/sporozoite (D058); candidate is gated to blood-eligible cells only
cells_with_gametocyte_call	105963	23689	EXPECTED REPAIR/RECOMPUTATION	Deployed used unvalidated hard-coded cluster->sex mapping (D048); candidate uses marker-threshold-validated calls, gated by eligibility (D037/D045)
