study_file	feature	availability
hazzard2022.rds	PVP01-0004350	measured
hazzard2022.rds	PVP01-0009210	measured
hazzard2022.rds	PVP01-0010840	measured
hazzard2022.rds	PVP01-0002050	measured
hazzard2022.rds	PVP01-0010440	measured
hazzard2022.rds	PVP01-0010200	measured
hazzard2022.rds	PVP01-0010670	measured
hazzard2022.rds	PVP01-0005210	measured
hazzard2022.rds	PVP01-0010710	measured
hazzard2022.rds	PVP01-0203300	measured
hazzard2022.rds	PVP01-0203400	measured
hazzard2022.rds	PVP01-0203700	measured
hazzard2022.rds	PVP01-0203800	measured
hazzard2022.rds	PVP01-0203900	measured
hazzard2022.rds	PVP01-0204000	measured
hazzard2022.rds	PVP01-0204200	measured
hazzard2022.rds	PVP01-0204300	measured
hazzard2022.rds	PVP01-0204400	measured
hazzard2022.rds	PVP01-0204500	measured
hazzard2022.rds	PVP01-0204600	measured
hazzard2022.rds	PVP01-0204700	measured
hazzard2022.rds	PVP01-0204800	measured
hazzard2022.rds	PVP01-0204900	measured
hazzard2022.rds	PVP01-0205000	measured
hazzard2022.rds	PVP01-0205100	measured
hazzard2022.rds	PVP01-0205200	measured
hazzard2022.rds	PVP01-0205300	measured
hazzard2022.rds	PVP01-0205400	measured
hazzard2022.rds	PVP01-0205500	measured
hazzard2022.rds	PVP01-0205600	measured
hazzard2022.rds	PVP01-0205700	measured
hazzard2022.rds	PVP01-0205900	measured
hazzard2022.rds	PVP01-0206000	measured
hazzard2022.rds	PVP01-0206100	measured
hazzard2022.rds	PVP01-0206200	measured
hazzard2022.rds	PVP01-0206300	measured
hazzard2022.rds	PVP01-0206400	measured
hazzard2022.rds	PVP01-0206500	measured
hazzard2022.rds	PVP01-0206600	measured
hazzard2022.rds	PVP01-0206700	measured
hazzard2022.rds	PVP01-0206800	measured
hazzard2022.rds	PVP01-0206900	measured
hazzard2022.rds	PVP01-0207000	measured
hazzard2022.rds	PVP01-0207100	measured
hazzard2022.rds	PVP01-0207200	measured
hazzard2022.rds	PVP01-0207300	measured
hazzard2022.rds	PVP01-0207400	measured
hazzard2022.rds	PVP01-0207500	measured
hazzard2022.rds	PVP01-0207600	measured
hazzard2022.rds	PVP01-0207700	measured
hazzard2022.rds	PVP01-0207800	measured
hazzard2022.rds	PVP01-0208000	measured
hazzard2022.rds	PVP01-0208300	measured
hazzard2022.rds	PVP01-0208400	measured
hazzard2022.rds	PVP01-0208500	measured
hazzard2022.rds	PVP01-0208600	measured
hazzard2022.rds	PVP01-0208800	measured
hazzard2022.rds	PVP01-0208900	measured
hazzard2022.rds	PVP01-0209000	measured
hazzard2022.rds	PVP01-0209400	measured
hazzard2022.rds	PVP01-0209500	measured
hazzard2022.rds	PVP01-0209600	measured
hazzard2022.rds	PVP01-0209700	measured
