"column_name"	"type"	"missing_fraction"	"distinct_count"	"app_visible_status"	"schema_definition_exists"	"expected_by_current_app"	"expected_by_desired_phase3_app"	"literal_NA_count"	"notes"
"n_count_rna"	"numeric"	0	6867	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"n_feature_rna"	"integer"	0	2600	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"study_pmid"	"character"	0	6	"YES"	TRUE	FALSE	TRUE	0	""
"run_id"	"character"	0	60	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"study_label"	"character"	0	6	"NO_OR_INTERNAL"	FALSE	TRUE	FALSE	0	""
"pub_year"	"numeric"	0	3	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"sc_technology"	"character"	0	3	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"sequencer_registered"	"character"	0.0921642460103999	4	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"sequencer_protocol_publication"	"character"	0.21370667119655	2	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"host_species"	"character"	0	6	"YES"	TRUE	TRUE	TRUE	0	""
"host_id"	"character"	0.137349829657522	26	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"day_post_infection"	"numeric"	0.0310863225842983	18	"YES"	TRUE	FALSE	TRUE	0	""
"sample_type"	"character"	0	4	"NO_OR_INTERNAL"	FALSE	TRUE	FALSE	0	""
"tissue_or_sample_type"	"character"	0	3	"YES"	TRUE	FALSE	TRUE	0	""
"strain"	"character"	0.755207006219152	9	"NO_OR_INTERNAL"	FALSE	TRUE	FALSE	0	""
"treatment"	"character"	0	6	"YES"	TRUE	TRUE	TRUE	0	""
"biological_replicate_id"	"character"	0	22	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"biological_replicate_type"	"character"	0	2	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"barcode"	"character"	0	105963	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"experimental_site"	"character"	0.0276700357672018	4	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"registry_location"	"character"	0.12154242518615	3	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"sequencing_site"	"character"	0.906127610581052	1	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"source_of_counts"	"character"	0	2	"YES"	TRUE	FALSE	TRUE	0	""
"counting_pipeline"	"character"	0	3	"YES"	TRUE	FALSE	TRUE	0	""
"count_reference_version"	"character"	0	3	"YES"	TRUE	FALSE	TRUE	0	""
"count_provenance_status"	"character"	0	3	"YES"	TRUE	FALSE	TRUE	0	""
"library_id"	"character"	0.244792993780848	24	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"animal_id"	"character"	0.152628747770448	17	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"infection_design"	"character"	0.244792993780848	4	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"parasite_lineage_isolate"	"character"	0.0587563583515001	10	"YES"	TRUE	FALSE	TRUE	0	""
"per_cell_parasite_genotype"	"character"	0.630635221728339	2	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"parasite_origin_location"	"character"	0.0310863225842983	9	"YES"	TRUE	FALSE	TRUE	0	""
"host_provenance"	"character"	0.230693732718024	2	"YES"	TRUE	FALSE	TRUE	0	""
"technology"	"character"	0.244792993780848	1	"YES"	TRUE	FALSE	TRUE	0	""
"host_sex"	"character"	0.244792993780848	1	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_run_count_deposited"	"integer"	0.138529486707624	3	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"source_run_count_imported"	"integer"	0.138529486707624	3	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"source_run_count_retained"	"numeric"	0.138529486707624	3	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"sequencer"	"character"	0.152628747770448	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_treatment"	"character"	0.880165718222398	6	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"retained_by_plavisca_qc"	"logical"	0.244792993780848	1	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"total_umi_count"	"numeric"	0	6867	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"near_empty_expression_flag"	"logical"	0	1	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"host_taxid"	"integer"	0.87845757481385	2	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"donor_id"	"character"	0.986429225295622	1	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"source_life_cycle_stage"	"character"	0.865585157083133	3	"YES"	TRUE	FALSE	TRUE	0	""
"source_stage_provenance"	"character"	0.00411464379075715	3	"YES"	TRUE	FALSE	TRUE	0	""
"count_source_rds_filename"	"character"	0.986429225295622	1	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"count_source_rds_sha256"	"character"	0.986429225295622	1	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"legacy_starsolo_total_umi_count"	"numeric"	1	0	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"legacy_starsolo_near_empty_flag"	"logical"	1	0	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"main_analysis_member"	"logical"	0.9078357539896	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_cell_id"	"character"	0.985900738937176	1494	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"reconstructed_barcode"	"character"	0.985900738937176	1474	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"source_state"	"character"	0.986032860526788	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_ap2g"	"character"	0.986032860526788	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_sex_state"	"character"	0.986032860526788	4	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_orig_ident"	"character"	0.986032860526788	15	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"dot1_duplicate_flag"	"logical"	0.985900738937176	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"dot1_duplicate_of"	"character"	0.999867878410388	14	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"d5_cross_array_duplicate_flag"	"logical"	0.985900738937176	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"source_pseudogroup"	"character"	0.244792993780848	4	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"idc_reference_similarity_label"	"character"	0.148580164774497	7	"YES"	TRUE	FALSE	TRUE	0	""
"idc_similarity_raw_label"	"character"	0.148580164774497	7	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"idc_similarity_score_delta"	"numeric"	0.148580164774497	89006	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"idc_similarity_pruned_flag"	"logical"	0.148580164774497	1	"NO_OR_INTERNAL"	TRUE	FALSE	FALSE	0	""
"idc_heuristic_stage_bin"	"character"	0.148580164774497	4	"YES"	TRUE	FALSE	TRUE	0	""
"harmonized_life_cycle_stage"	"character"	0.000198182384417202	7	"YES"	TRUE	FALSE	TRUE	0	""
"seurat_clusters"	"factor"	0	6	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"pred_gametocyte_sex"	"character"	0.776440833120995	2	"YES"	TRUE	FALSE	TRUE	0	""
"source_sex_annotation"	"character"	0.985542123193945	2	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"adjudicated_display_stage"	"character"	1	0	"YES"	TRUE	FALSE	TRUE	0	""
"parasite_broad_stage"	"character"	0.000198182384417202	3	"YES"	TRUE	FALSE	TRUE	0	""
"umap_u_1"	"numeric"	0	105834	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"umap_u_2"	"numeric"	0	105867	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
"umap_u_3"	"numeric"	0	105896	"NO_OR_INTERNAL"	FALSE	FALSE	FALSE	0	""
