metric	previous	final	classification
total_cells	105963	105949	EXPECTED_DEC01_MEMBERSHIP_CHANGE
study_cells:Mancio-Silva2022	1494	1480	EXPECTED_DEC01_MEMBERSHIP_CHANGE
study_cells:Sa2020	9766	9766	EXPECTED_UNCHANGED
study_cells:Hazzard2022	3294	3294	EXPECTED_UNCHANGED
study_cells:Hazzard2024	80024	80024	EXPECTED_UNCHANGED
study_cells:Ruberto2022_1	1438	1438	EXPECTED_UNCHANGED
study_cells:Ruberto2022_2	9947	9947	EXPECTED_UNCHANGED
DEC01_removed_ids	0	14	EXPECTED_DEC01_REMOVAL
DEC02_retained_cells	2	2	EXPECTED_DEC02_RETAINED
paired_missing_stage_cells	21	7	EXPECTED_DEC01_NULLABILITY_CHANGE
