field	value
candidate_id	C1_kallisto_pv51_parasite_only
tool	kallisto bus (pseudoalignment) + bustools correct|sort|count
tool_version_used_here	kallisto 0.51.1, bustools 0.45.1 (current upstream releases; authors used kallisto 0.46.0/bustools 0.39.3 - see notes)
reference	PlasmoDB-51_PvivaxP01_AnnotatedTranscripts.fa.gz (6,861 transcripts), downloaded from the authors' own Zenodo deposit (10.5281/zenodo.6463338), parasite-only (no human/host reference included in this controlled test - see notes)
index_command	kallisto index -i pv51_tr_index.idx -k 31 pv51_transcripts.fa.gz
index_result	38,378 contigs, 18,761,825 k-mers, built from 6,861 input transcripts (1,953 non-ACGT characters replaced with pseudorandom nucleotides per kallisto's standard warning)
alignment_command_per_run	kallisto bus -i pv51_tr_index.idx -o kallisto_out/<run> -x 10xv3 -t 20 <run>_1.fastq.gz <run>_2.fastq.gz
count_command_per_run	bustools correct -w 10x_v3_whitelist.txt -o corrected.bus output.bus && bustools sort -t 8 -o sorted.bus corrected.bus && bustools count -o genecount/genes -g pv51_t2g.txt -e matrix.ec -t transcripts.txt --genecounts sorted.bus
whitelist	10x_version3_whitelist.txt (6,794,880 barcodes), downloaded from the same Zenodo deposit; barcode count confirmed identical to STARsolo's 3M-february-2018.txt whitelist size
input_fastq	local files at /pool/baia/refdata/PlaViSca/fq_data/36093191/ (the exact files STARsolo aligned; content-verified against ENA via exact read-count match - see D036_fastq_provenance.tsv), never re-downloaded
runs_processed	SRR19573609 (rep2,d9,affected), SRR19573610 (rep2,d5,affected), SRR19573611 (rep1,d9,control), SRR19573612 (rep1,d5,control)
staging_location	/tmp/plavisca_candidate/kallisto_out/ (scratch; not committed to git, not written into counts/ or any forensic STARsolo output directory)
what_this_experiment_isolates	Aligner + reference-representation variable only (STAR spliced genomic alignment against a parasite-only genome, vs kallisto k=31 pseudoalignment against a parasite-only transcriptome). Does NOT reproduce the authors' exact combined human+parasite index, PlasmoDB-51 vs PlasmoDB-68 GTF choice interacting with genome coordinates, or their exact tool versions - those remain uncontrolled variables and are noted as limitations, not resolved by this single experiment.
results	See D036_resolution.md for pseudoalignment-rate summary (kallisto run_info.json per run) and D036_cell_level_rescue.tsv for the exact-538-cell-ID comparison.
