metric	SRR19573609_rep2_d9	SRR19573610_rep2_d5	SRR19573611_rep1_d9	SRR19573612_rep1_d5	sampling_method
sampled_read_pairs	40000	40000	40000	40000	first N read records from local FASTQ (identical fixed position for all 4 runs, R1 and R2 in registered pair order)
R1_read_length_bp	28	28	28	28	length() of every sampled R1 record
R2_read_length_bp	91	91	91	91	length() of every sampled R2 record
R2_base_composition_A	0.344	0.335	0.282	0.284	first 100,000 R2 reads, per-base composition across full 91bp
R2_base_composition_C	0.207	0.201	0.231	0.228	first 100,000 R2 reads, per-base composition across full 91bp
R2_base_composition_G	0.222	0.239	0.234	0.237	first 100,000 R2 reads, per-base composition across full 91bp
R2_base_composition_T	0.227	0.225	0.252	0.252	first 100,000 R2 reads, per-base composition across full 91bp
R2_N_content	0.0000	0.0000	0.0000	0.0000	first 100,000 R2 reads
R2_mean_phred_quality	35.74	31.75	36.39	35.92	first 50,000 R2 reads, mean Sanger/Phred+33 quality across full 91bp
ena_registered_read_count	440660768	433820693	402658977	424172132	ENA filereport API (full-run registered count, not a sample)
local_fastq_decompressed_read_count	440660768	433820693	402658977	424172132	full zcat | wc -l / 4 of local mate-1 FASTQ (exact match to ENA for all 4 runs)
starsolo_valid_barcode_fraction	0.9772	0.9788	0.9889	0.9877	counts/36093191/SRR195736XX_solo_out/Solo.out/Barcodes.stats (Phase-1 D036 investigation)
starsolo_reads_mapped_unique_multi_pct	6.69	6.23	0.74	2.54	counts/36093191/SRR195736XX_solo_out/Log.final.out (Phase-1 D036 investigation)
kallisto_pseudoalignment_pct_parasite_only_index	SEE_D036_candidate_processing.tsv	SEE_D036_candidate_processing.tsv	SEE_D036_candidate_processing.tsv	SEE_D036_candidate_processing.tsv	this investigation's controlled kallisto|bustools re-alignment (k=31, PlasmoDB-51 parasite transcriptome only, no host reference); full run_info.json pseudoalignment rate reported in D036_candidate_processing.tsv
interpretation_note	R1 length, R2 length, N-content, and quality are all normal and comparable across all four runs; rules out truncation, adapter contamination, or gross quality degradation as an explanation for rep2's near-empty STARsolo counts. R2 base composition shows rep2 (609/610) is modestly more A-rich than rep1 (611/612) (~34% vs ~28% A) - consistent with, but not proof of, a higher proportion of P. vivax-derived (AT-biased) transcript content in the rep2 read pool than STARsolo is capturing; this observation motivated the kallisto pseudoalignment controlled experiment (D036_candidate_processing.tsv, D036_cell_level_rescue.tsv) as the decisive test.	—	—	—	—
