Sample	Stage	n_cells
69	BloodStage	1334
71	BloodStage	2534
72	BloodStage	399
73	BloodStage	349
75	BloodStage	1304
76	BloodStage	186
78	BloodStage	2198
Case_909	BloodStage	0
Case_922	BloodStage	0
Case_923	BloodStage	0
NA	BloodStage	0
69	Sporozoite	0
71	Sporozoite	0
72	Sporozoite	0
73	Sporozoite	0
75	Sporozoite	0
76	Sporozoite	0
78	Sporozoite	0
Case_909	Sporozoite	3375
Case_922	Sporozoite	4002
Case_923	Sporozoite	2570
NA	Sporozoite	0
69	NA	0
71	NA	0
72	NA	0
73	NA	0
75	NA	0
76	NA	0
78	NA	0
Case_909	NA	0
Case_922	NA	0
Case_923	NA	0
NA	NA	0
