defect_or_repair	study_rds	merged_atlas_object	normalization	hvf_selection	scaling	pca	harmony	neighbor_graph	clustering	singleR	gametocyte_inference	umap_tsne	raw_export	normalized_export	scale_export	cleaned_metadata_export	application_data	earliest_responsible_repair_point
D001-D010,D013 Mancio-Silva2022 metadata fixes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes (bibliography join, if study_label changes)	silva.R
D011/D012 Mancio-Silva2022 duplicate inclusion decision	Yes (if approved)	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	silva.R (cell membership change propagates through entire downstream chain)
D014/D015 Sa2020 gametocyte import code fixes	Yes (annotation-only re-import, not full rebuild)	No	No	No	No	No	No	No	No	No	Yes (source_sex_annotation field only)	No	No	No	No	Yes	No	Sa2020 gametocyte source-import script
D016/D017/D019 Sa2020 metadata fixes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	sa2020_pv_analysis_script.R
D018 Sa2020 inclusion-population decision	Yes (if publication-faithful subset adopted)	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	sa2020_pv_analysis_script.R (cell membership change)
D020/D021/D023/D024 Hazzard2022 metadata/annotation fixes	Yes	No	No	No	No	No	No	No	No	Yes (broad-field propagation, HPI masking)	No	No	Yes	Yes	Yes	Yes	Yes	hazzard2022_pv_analysis_script.R + singleR.R override block
D022 Hazzard2022 QC-method decision	Yes (if reprocessed with different QC)	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	hazzard2022_pv_analysis_script.R (cell membership change)
D025 Hazzard2022 audit completion	No (audit-only)	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	N/A (blocks confidence in above rows, not code)
D026-D029,D032,D033 Hazzard2024 metadata fixes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	hazzard2024 chunk scripts
D030/D031 Hazzard2024 schema decisions (replicate/geography)	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	hazzard2024 chunk scripts
D035 Hazzard2024 sex-calling authority (depends on D047/D048)	No (metadata reconciliation only, until D047/D048 fixed)	No	No	No	No	No	No	No	Yes (after D047/D048 fixed atlas-wide)	No	Yes (after D047/D048 fixed atlas-wide)	No	Yes	Yes	Yes	Yes	No	singleR.R gametocyte block (shared, atlas-wide)
D036 Ruberto2022_1 replicate-2 expression repair	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	STARsolo alignment of SRR19573609/610 (count-generation stage; full atlas-wide recomputation required once cell counts for these 538 cells change)
D037 Ruberto2022_1 gametocyte/HPI gating fix	No (annotation gating only)	No	No	No	No	No	No	No	No	Yes (gating logic)	Yes (gating logic)	No	No	No	No	Yes	No	singleR.R gating logic (shared)
D038/D039 Ruberto2022_1 metadata fixes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	ruberto2022_1_pv_analysis_script.R
D040-D043 Ruberto2022_2 metadata fixes	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	ruberto2022_2_pv_analysis_script.R
D044 Ruberto2022_2 HPI gating fix	No	No	No	No	No	No	No	No	No	Yes (gating/masking)	No	No	No	No	No	Yes	No	singleR.R HPI masking logic (shared)
D045 singleR.R override-scoping fix (Ruberto2022_2 latent risk)	No	No	No	No	No	No	No	No	No	Yes (code fix)	Yes (scoping condition)	No	No	No	No	Yes (after fix applied and re-exported)	No	singleR.R override ordering (shared, protects future reruns)
D046 Ruberto2022_2 vocabulary/schema reconciliation	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	singleR.R / flatten_data.R export layer (shared)
D047 FindClusters graph_name fix	No	No	No	No	No	No	No	No	Yes (atlas-wide rerun required, since cluster identities change)	Yes	Yes	No	Yes	Yes	Yes	Yes	No	singleR.R (shared, atlas-wide)
D048 hard-coded cluster-to-sex mapping replacement	No	No	No	No	No	No	No	No	Yes (depends on D047 rerun)	Yes	Yes (redesigned, marker-validated method)	No	Yes	Yes	Yes	Yes	No	singleR.R (shared, atlas-wide)
D049 post-integration removal policy change	Possibly (if reversed/redesigned, could restore previously-removed cells)	Yes (if cell membership changes)	Yes (if cell membership changes)	Yes (if cell membership changes)	Yes (if cell membership changes)	Yes (if cell membership changes)	Yes (if cell membership changes)	Yes (if cell membership changes)	Yes (if cell membership changes)	No	No	Yes (if cell membership changes)	Yes	Yes	Yes	Yes	No	singleR.R post-integration filter (shared)
D050/D051 Harmony grouping redesign	No	No	No	No	No	Yes (orig.reduction unaffected but new.reduction recomputed)	Yes (full Harmony rerun required)	Yes (recomputed on new integrated reduction)	Yes (recomputed)	Yes (recomputed, since clusters change)	Yes (recomputed)	Yes (recomputed)	No	No	No	No	No	integration.R (shared, atlas-wide; single most expensive rerun in this matrix)
D052 top_genes_exp export bug fix	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes (top_genes_exp only)	No	flatten_data.R (export-only, cheap)
D053 any_of/clean_names ordering fix	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	flatten_data.R (export-only, cheap)
D054 export-vs-deployed schema reconciliation	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	flatten_data.R (requires full rebuild once pv_all_studies.rds exists again)
D055 keyed row-alignment assertions	No	No	No	No	No	No	No	No	No	No	No	No	Yes (hardening only, no value change expected)	Yes	Yes	No	No	flatten_data.R (export-only, cheap; adds fail-loud checks)
D056/D057 study_label and bibliography consistency	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes (data_source.csv join)	data_source_manipulation.R + silva.R (cheap)
D058 HPI applicability/naming redesign	No	No	No	No	No	No	No	No	No	Yes (rename + re-gate)	No	No	Yes	Yes	Yes	Yes	Yes (field rename)	singleR.R (shared, atlas-wide)
D059 reference-construction documentation/logging	No	No	No	No	No	No	No	No	No	Yes (recomputed with logged drop_na count; values unchanged if logic unchanged)	No	No	No	No	No	No	No	singleR.R reference construction (shared)
D060 heuristic bin labeling fix	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes (field relabeled)	Yes (label rename)	singleR.R (shared)
D061 persist SingleR uncertainty fields	No	No	No	No	No	No	No	No	No	Yes (additional fields written, no value change to existing fields)	No	No	No	No	No	Yes	No	singleR.R (shared)
D062-D069 application-layer fixes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	PlaViSca app code only (no preprocessing rebuild needed, except D062's "no literal NA" rule which also requires flatten_data.R/study-script changes)
