date	artifact_path	output_sha256	script_path	git_commit	r_version	Seurat_version	SeuratObject_version	harmony_version	SingleR_version	cell_count	seed	notes
2026-09-20 13:48:22.514965	ruberto2022_1.rds	6af8e5585bb8b86763a2d65332e0438cd81be8cc6d8c8d31dae7c70cd3068075	scripts/ruberto2022_1_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	NA	2.4.0	1438	NA	PHASE 2: D036/DEC09 resolved - adopted author kallisto/bustools raw UMI counts (Hep59.1.2.seu_20aug2025.rds) for all 1438 cells, replacing the STARsolo reconstruction; 2089/2089 zero-filled reference-absent features; 0 cells near-empty under legacy STARsolo (historical), 0 cells near-empty under adopted author counts. STARsolo raw barcode space was not re-read (cell membership and metadata are fully determined by the author crosswalk and per-run constants); legacy comparison fields sourced from the prior build's own output.
2026-09-20 13:53:55.03402	sa2020.rds	42324f4942aabc7abf0b88898df9aecfda51a133d1321bc778eda97590b38972	scripts/sa2020_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	NA	2.4.0	9766	NA	Fixes D016,D017,D019,D069; D018 resolved as DEC03 option (b) - retain all 9766, add main_analysis_member covariate, no membership change; D014/D015 gametocyte-import fixes live in singleR.R
2026-09-20 13:55:26.635452	hazzard2022.rds	3dd40f51826295852b45b9b7d252e98db61961578cff7729dba3ec783b689de3	scripts/hazzard2022_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	NA	2.4.0	3294	NA	Fixes D023,D024,D069 (true NA, registered-vs-publication sequencer split, technology spelling); D022 QC-authority explicitly deferred per DEC04/DEC08; D020/D021 broad-stage/HPI fixes live in singleR.R
2026-09-20 13:57:22.145241	ruberto2022_2.rds	be07c9c8b0ccc6e592001096a80f55aec689d380174af684d51c5bd5b357ea08	scripts/ruberto2022_2_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	NA	2.4.0	9947	NA	Fixes D040-D043,D069; D044/D045/D046 HPI-gating and override-scoping fixes live in singleR.R
2026-09-20 14:16:47.198674	silva2022.rds	d1917c229185b0b357376446687ed20058d9bffdd8b75eae770af28f4ddc977f	scripts/silva.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	NA	2.4.0	1494	NA	Fixes D001-D010,D013; D011/D012 flagged not removed per Phase 1 conservative membership policy (DEC01/DEC02 pending)
2026-09-20 14:18:45.706151	hazzard2024.rds	bf54f3c025817d101384ca014e880a992fcf0260163ef328d3a5ef538c400e3f	scripts/hazzard2024_merge_all.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	NA	2.4.0	80024	NA	Fixes D026-D030,D032,D033,D069 (keyed run table); preserves exact 80,024-cell population per Phase 1 conservative membership policy
2026-09-20 15:02:25.029173	hazzard2024.rds	cc4d93a3049937fa453a330b6596b319377bb464e1e880ac2417de4671b34428	scripts/hazzard2024_merge_all.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	80024	NA	Fixes D026-D030,D032,D033,D069 (keyed run table); preserves exact 80,024-cell population per Phase 1 conservative membership policy
2026-09-20 15:18:42.938303	pv_all_studies.rds	ab2dacb234349e664c3937673f965c44b7e109b24413b30df63be35d6e313849	scripts/integration.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	105963	123	Fixes D050,D051: removed non-functional group_by argument, added explicit layer->study grouping assertions/diagnostics before Harmony. Phase 2 Part 6: HVG/PCA restricted to the 5203-gene integration-eligible intersection (of 6860-gene atlas union) - see audit/phase2_rebuild/feature_universe.tsv and feature_availability_by_study.tsv
2026-09-20 15:25:22.231606	sa2020.rds	c31d16e8b0731d163633b0ca2942663fa816b1dd5fff902ea84fcb0490391a6e	scripts/sa2020_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	9766	NA	Fixes D016,D017,D019,D069; D018 resolved as DEC03 option (b) - retain all 9766, add main_analysis_member covariate, no membership change; D014/D015 gametocyte-import fixes live in singleR.R
2026-09-20 15:25:48.17184	hazzard2022.rds	3ee0dc3889429596a7bbdab84345d5d04e8b16c3de7c6a7cba458f9264979080	scripts/hazzard2022_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	3294	NA	Fixes D023,D024,D069 (true NA, registered-vs-publication sequencer split, technology spelling); D022 QC-authority explicitly deferred per DEC04/DEC08; D020/D021 broad-stage/HPI fixes live in singleR.R
2026-09-20 15:26:22.367373	ruberto2022_2.rds	b20c625d10ed3ad0fecef2e388672f8a29df5c90449c225f2a0f0737bf49a68a	scripts/ruberto2022_2_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	9947	NA	Fixes D040-D043,D069; D044/D045/D046 HPI-gating and override-scoping fixes live in singleR.R
2026-09-20 15:35:37.048326	hazzard2024.rds	febb1377254756441aabb4fa8505e8d74aee2fe6adbbe1dfc2eaab9d608a9e18	scripts/hazzard2024_merge_all.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	80024	NA	Fixes D026-D030,D032,D033,D069 (keyed run table); preserves exact 80,024-cell population per Phase 1 conservative membership policy
2026-09-20 16:04:21.843156	ruberto2022_1.rds	802641469151745c92073242d2eb98aaeb57cef07ba2064d52b365f41afeb173	scripts/ruberto2022_1_pv_analysis_script.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	1438	NA	PHASE 2: D036/DEC09 resolved - adopted author kallisto/bustools raw UMI counts (Hep59.1.2.seu_20aug2025.rds) for all 1438 cells, replacing the STARsolo reconstruction; 2089/2089 zero-filled reference-absent features; 0 cells near-empty under legacy STARsolo (historical), 0 cells near-empty under adopted author counts. STARsolo raw barcode space was not re-read (cell membership and metadata are fully determined by the author crosswalk and per-run constants); legacy comparison fields sourced from the prior build's own output.
2026-09-20 16:04:45.931411	silva2022.rds	70782fe4aed2963ef2ca167bfe204d7a1a5320455dba3bb5a4586f836f74d9a4	scripts/silva.R	c47791342bf47a035630c7606c4dfa1102fb4385	4.3.3	5.3.0	5.2.0	1.2.3	2.4.0	1494	NA	Fixes D001-D010,D013; D011/D012 flagged not removed per Phase 1 conservative membership policy (DEC01/DEC02 pending)
