run_id	library_id	animal_id	biological_replicate_id	biological_replicate_type	day_post_infection	infection_design	parasite_lineage_isolate	per_cell_parasite_genotype	parasite_origin_location	host_provenance	experimental_site	sequencing_site	registry_location	host_species	technology	sequencer_registered	sequencer_protocol_publication	host_sex	source_run_count_deposited	source_run_count_imported	source_run_count_retained
SRR27021955	5309_2	5309	5309	animal	16	Mono infection	Chesson	Chesson	Papua New Guinea	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021956	5309_1	5309	5309	animal	14	Mono infection	Chesson	Chesson	Papua New Guinea	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021960	5708_4	5708	5708	animal	26	Consecutive infection	Chesson then NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021966	5370_3	5370	5370	animal	31	Sporozoite infection	coinfection	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021967	5370_2	5370	5370	animal	30	Sporozoite infection	coinfection	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021968	5370_1	5370	5370	animal	29	Sporozoite infection	coinfection	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021969	5350_3	5350	5350	animal	31	Sporozoite infection	coinfection	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021970	5350_2	5350	5350	animal	30	Sporozoite infection	coinfection	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021971	5708_3	5708	5708	animal	24	Consecutive infection	Chesson then NIH 1993	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
SRR27021972	5350_1	5350	5350	animal	29	Sporozoite infection	coinfection	NA	unresolved (mixed Chesson/NIH-1993-F3 lineage library)	Female Saimiri boliviensis from NIH-approved sources; donor/birth geography not reported	NIAID/NIH (in-house Saimiri boliviensis colony)	NA	USA: Bethesda	Saimiri boliviensis	10x_Chromium	Illumina NovaSeq 6000	Illumina NovaSeq	female	43	30	24
