prefix_key	orig_ident	source_group	day_post_infection	source_treatment	geo_accession	geo_title	sequencer_registered	run_accession	experiment_accession	source_cell_count
D1SEQ100	CAPD1r100	Infection1	1	CTRL	GSM5916705	Infection1_D1_Inf_100	NextSeq 500	SRR18134228	SRX14282288	207
D5SEQ100	CAPD5r100	Infection1	5	CTRL	GSM5916707	Infection1_D5_Inf_100	NextSeq 500	SRR18134230	SRX14282290	127
D5SEQ50	CAPD5r50	Infection1	5	CTRL	GSM5916706	Infection1_D5_Inf_50	NextSeq 500	SRR18134229	SRX14282289	177
D11SEQ100	CAPD11r100	Infection1	11	CTRL	GSM5916711	Infection1_D11_Inf_100	NextSeq 500	SRR18134234	SRX14282294	313
D11SEQ50	CAPD11r50	Infection1	11	CTRL	GSM5916710	Infection1_D11_Inf_50	NextSeq 500	SRR18134233	SRX14282293	213
D14pSEQ100	CAPD14pr100	Infection1	14	PI4K	GSM5916719	Infection1_D14p_Inf_100	NextSeq 500	SRR18134242	SRX14282306	71
D14SEQ100	CAPD14r100	Infection1	14	CTRL	GSM5916713	Infection1_D14_Inf_100	NextSeq 500	SRR18134236	SRX14282300	162
D4Seq1	SEQ4r1	Infection2	4	CTRL	GSM5916726	Infection2_D4_SEQ1	Illumina NovaSeq 6000	SRR18134251;SRR18134252	SRX14282321	63
D4Seq2	SEQ4r2	Infection2	4	CTRL	GSM5916727	Infection2_D4_SEQ2	Illumina NovaSeq 6000	SRR18134253;SRR18134254	SRX14282322	17
D5Seq1	SEQ5r1	Infection2	5	CTRL	GSM5916730	Infection2_D5_SEQ1	Illumina NovaSeq 6000	SRR18134257;SRR18134258	SRX14282325	1
D5Seq2	SEQ5r2	Infection2	5	CTRL	GSM5916731	Infection2_D5_SEQ2	Illumina NovaSeq 6000	SRR18134259;SRR18134260	SRX14282326	1
D8pSeq1	SEQ8pr1	Infection2	8	PI4K	GSM5916742	Infection2_D8p_SEQ1	Illumina NovaSeq 6000	SRR18134275;SRR18134276	SRX14282313	28
D8Seq1	SEQ8r1	Infection2	8	CTRL	GSM5916734	Infection2_D8_SEQ1	Illumina NovaSeq 6000	SRR18134263;SRR18134264	SRX14282329	37
D11pSeq2	SEQ11p2	Infection2	11	PI4K	GSM5916747	Infection2_D11p_SEQ2	Illumina NovaSeq 6000	SRR18134283;SRR18134284	SRX14282298	54
D11Seq1	SEQ11r1	Infection2	11	CTRL	GSM5916738	Infection2_D11_SEQ1	Illumina NovaSeq 6000	SRR18134269;SRR18134270	SRX14282309	23
